34,"SELECT TOP # g.objid, zns.nvote, zns.p_el as elliptical, zns.p_cw as spiralclock, zns.p_acw as spiralanticlock, zns.p_edge as edgeon, zns.p_dk as dontknow, zns.p_mg as merger FROM Galaxy as G JOIN ZooNoSpec AS zns ON G.objid = zns.objid WHERE g.clean = # and zns.nvote > = # and zns.p_cw > #"
2019-01-04 16:42:00,1
2019-03-14 15:56:00,2
2019-03-14 16:07:00,1
2019-03-14 16:29:00,1
2019-03-14 17:05:00,1
2019-03-14 17:14:00,1
2019-03-14 17:20:00,2
2019-03-14 17:22:00,1
2019-03-14 18:25:00,1
2019-03-14 18:26:00,1
2019-03-24 18:54:00,1
2019-03-24 19:03:00,1
2019-04-05 20:15:00,1
2019-05-07 16:34:00,1
2019-05-29 11:41:00,1
2019-06-29 06:04:00,1
2019-07-11 16:55:00,1
2019-08-28 20:31:00,1
2019-09-06 11:56:00,1
2019-09-08 17:22:00,1
2019-09-13 17:59:00,1
2019-09-15 12:42:00,1
2019-09-15 12:47:00,1
2019-09-20 14:15:00,1
2019-09-20 14:16:00,1
2019-09-20 14:18:00,1
2019-09-20 14:30:00,2
2019-09-20 14:37:00,1
2019-09-20 14:39:00,1
2019-09-20 14:43:00,1
2019-09-25 07:52:00,1
