33,"SELECT TOP # g.objid, g.ra, g.dec, g.u, g.g, g.r, g.i, g.z, z.z as redshift, z.photoErrorClass, z.nnCount, z.zErr FROM Galaxy AS g JOIN Photoz AS z ON z.objid = g.objid WHERE g.ra > #and g.ra < # and g.dec > # and g.dec < # and z.z > # and z.z < #"
2019-12-29 09:15:00,2
2019-12-29 09:19:00,1
2019-12-29 09:24:00,1
2019-12-29 09:25:00,1
2019-12-29 09:28:00,1
2019-12-29 11:17:00,1
2019-12-29 11:23:00,1
2019-12-29 11:25:00,1
2019-12-29 11:27:00,1
2019-12-29 11:28:00,1
2019-12-29 11:30:00,1
2019-12-29 11:35:00,1
2019-12-29 11:36:00,1
2019-12-29 11:38:00,1
2019-12-29 11:39:00,2
2019-12-29 11:40:00,1
2019-12-29 11:41:00,1
2019-12-29 11:47:00,1
2019-12-29 11:50:00,1
2019-12-29 11:52:00,1
2019-12-29 11:53:00,1
2019-12-29 11:55:00,1
2019-12-29 11:56:00,1
2019-12-29 12:00:00,1
2019-12-29 12:02:00,1
2019-12-29 12:03:00,1
2019-12-29 12:04:00,1
2019-12-29 12:06:00,1
2019-12-29 12:08:00,1
2019-12-29 12:11:00,1
2019-12-29 12:18:00,1
