26,select * from zoo2Stripe8#Normal where dr8objid=#
2019-01-03 00:38:00,1
2019-01-03 01:02:00,1
2019-01-03 01:20:00,1
2019-01-03 01:21:00,1
2019-01-03 02:12:00,1
2019-01-03 03:46:00,1
2019-01-03 03:47:00,1
2019-01-03 05:15:00,1
2019-01-03 05:42:00,1
2019-01-03 07:24:00,1
2019-01-03 07:56:00,1
2019-01-03 07:57:00,1
2019-01-03 08:16:00,1
2019-01-03 08:50:00,1
2019-01-03 08:52:00,1
2019-01-03 09:36:00,1
2019-01-03 13:21:00,1
2019-01-03 13:50:00,1
2019-01-03 13:54:00,1
2019-01-03 14:48:00,1
2019-01-03 15:42:00,1
2019-01-03 16:09:00,1
2019-01-03 17:13:00,1
2019-01-03 20:07:00,2
2019-01-03 20:40:00,1
