137,"select name,ucd from dbcolumns where tablename = &&& and ( name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&&)"
2019-01-04 00:58:00,1
2019-01-04 02:00:00,1
2019-01-04 02:40:00,6
2019-01-04 02:41:00,3
2019-01-04 02:48:00,9
2019-01-04 02:58:00,1
2019-01-04 03:58:00,1
2019-01-04 04:57:00,1
2019-01-04 05:58:00,1
2019-01-04 06:58:00,1
2019-01-04 07:58:00,1
2019-01-04 07:59:00,1
2019-01-04 08:57:00,1
2019-01-04 09:57:00,1
2019-01-04 10:06:00,9
2019-01-04 10:49:00,8
2019-01-04 10:50:00,1
2019-01-04 10:56:00,9
2019-01-04 10:57:00,1
2019-01-04 10:59:00,9
2019-01-04 11:35:00,1
2019-01-04 11:57:00,1
2019-01-04 12:23:00,6
2019-01-04 12:24:00,4
2019-01-04 12:26:00,9
2019-01-04 12:32:00,9
2019-01-04 12:57:00,1
2019-01-04 13:50:00,9
2019-01-04 13:57:00,1
2019-01-04 14:50:00,8
2019-01-04 14:51:00,1
2019-01-04 14:58:00,1
2019-01-04 15:57:00,1
2019-01-04 16:07:00,9
2019-01-04 16:57:00,1
2019-01-04 17:43:00,5
2019-01-04 17:44:00,2
2019-01-04 17:57:00,1
2019-01-04 18:58:00,1
