22,select * from zooNoSpec where objid=#
2019-01-04 00:40:00,1
2019-01-04 00:42:00,3
2019-01-04 00:50:00,1
2019-01-04 01:44:00,1
2019-01-04 04:13:00,1
2019-01-04 04:38:00,1
2019-01-04 04:41:00,1
2019-01-04 05:30:00,1
2019-01-04 05:32:00,1
2019-01-04 05:48:00,1
2019-01-04 06:33:00,1
2019-01-04 08:31:00,1
2019-01-04 09:55:00,1
2019-01-04 11:47:00,1
2019-01-04 11:57:00,1
2019-01-04 13:48:00,1
2019-01-04 16:44:00,1
2019-01-04 17:31:00,1
2019-01-04 18:48:00,1
2019-01-04 19:16:00,1
