216,"SELECT DISTINCT p.ra , p.dec FROM PhotoObjAll p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = # GROUP BY p.ra, p.dec"
2019-01-10 00:02:00,1
2019-01-10 00:12:00,1
2019-01-10 00:25:00,1
2019-01-10 00:37:00,1
2019-01-10 00:48:00,1
2019-01-10 01:00:00,1
2019-01-10 01:10:00,1
2019-01-10 01:23:00,1
2019-01-10 01:36:00,1
2019-01-10 01:47:00,1
2019-01-10 02:00:00,1
2019-01-10 02:11:00,1
2019-01-10 02:22:00,1
2019-01-10 02:36:00,1
2019-01-10 02:46:00,1
2019-01-10 02:59:00,1
2019-01-10 03:11:00,1
2019-01-10 03:22:00,1
2019-01-10 03:35:00,1
2019-01-10 03:44:00,1
2019-01-10 03:52:00,1
2019-01-10 04:01:00,1
2019-01-10 04:10:00,1
2019-01-10 04:19:00,1
2019-01-10 04:29:00,1
2019-01-10 04:41:00,1
2019-01-10 04:52:00,1
2019-01-10 05:02:00,1
2019-01-10 05:13:00,1
2019-01-10 05:23:00,1
2019-01-10 05:33:00,1
2019-01-10 05:46:00,1
2019-01-10 05:54:00,1
2019-01-10 06:03:00,1
2019-01-10 06:12:00,1
2019-01-10 06:22:00,1
2019-01-10 06:31:00,1
2019-01-10 06:39:00,1
2019-01-10 06:48:00,1
2019-01-10 10:53:00,1
2019-01-10 11:01:00,1
2019-01-10 11:03:00,1
2019-01-10 11:07:00,1
2019-01-10 11:12:00,1
2019-01-10 11:15:00,1
2019-01-10 11:18:00,1
2019-01-10 11:21:00,1
2019-01-10 11:24:00,1
2019-01-10 11:25:00,5
2019-01-10 11:27:00,1
2019-01-10 11:28:00,5
2019-01-10 11:29:00,5
2019-01-10 11:30:00,1
2019-01-10 11:33:00,1
2019-01-10 11:36:00,1
2019-01-10 11:37:00,5
2019-01-10 11:40:00,1
2019-01-10 11:42:00,5
2019-01-10 11:43:00,1
2019-01-10 11:47:00,1
2019-01-10 11:48:00,5
2019-01-10 11:50:00,1
2019-01-10 11:53:00,6
2019-01-10 11:56:00,1
2019-01-10 11:57:00,6
2019-01-10 11:59:00,7
2019-01-10 12:02:00,1
2019-01-10 12:05:00,6
2019-01-10 12:06:00,1
2019-01-10 12:09:00,5
2019-01-10 12:10:00,2
2019-01-10 12:13:00,1
2019-01-10 12:17:00,1
2019-01-10 12:21:00,1
2019-01-10 12:24:00,1
2019-01-10 12:27:00,6
2019-01-10 12:31:00,6
2019-01-10 12:33:00,6
2019-01-10 12:43:00,6
2019-01-10 12:51:00,6
2019-01-10 13:33:00,2
2019-01-10 14:16:00,1
2019-01-10 14:25:00,1
2019-01-10 14:56:00,1
2019-01-10 15:04:00,1
2019-01-10 15:30:00,1
2019-01-10 15:36:00,1
2019-01-10 16:11:00,6
2019-01-10 16:20:00,1
2019-01-10 16:28:00,1
2019-01-10 16:32:00,1
2019-01-10 16:35:00,1
2019-01-10 16:38:00,1
2019-01-10 16:42:00,1
2019-01-10 16:46:00,1
2019-01-10 16:49:00,1
2019-01-10 16:52:00,1
2019-01-10 16:55:00,1
2019-01-10 16:58:00,1
2019-01-10 17:01:00,1
2019-01-10 17:05:00,1
2019-01-10 17:08:00,1
2019-01-10 17:11:00,1
2019-01-10 17:14:00,1
2019-01-10 17:18:00,1
2019-01-10 17:21:00,1
2019-01-10 17:24:00,1
2019-01-10 17:27:00,1
2019-01-10 17:30:00,1
2019-01-10 17:34:00,1
2019-01-10 17:38:00,1
2019-01-10 17:41:00,1
2019-01-10 17:44:00,1
2019-01-10 17:48:00,1
2019-01-10 17:51:00,1
2019-01-10 17:54:00,1
2019-01-10 17:57:00,1
2019-01-10 18:00:00,1
2019-01-10 18:04:00,1
2019-01-10 18:07:00,1
2019-01-10 18:11:00,1
2019-01-10 18:15:00,1
2019-01-10 18:19:00,1
2019-01-10 18:22:00,1
2019-01-10 18:26:00,1
2019-01-10 18:29:00,1
2019-01-10 18:32:00,1
2019-01-10 18:36:00,1
2019-01-10 18:40:00,1
2019-01-10 18:44:00,1
2019-01-10 18:47:00,1
2019-01-10 18:51:00,1
2019-01-10 18:55:00,1
2019-01-10 18:58:00,1
2019-01-10 19:02:00,1
