44,"select p.run, p.camcol, p.field from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-01-17 02:21:00,4
2019-01-17 02:23:00,4
2019-01-17 02:25:00,1
2019-01-17 02:26:00,1
2019-01-17 02:27:00,1
2019-01-17 02:29:00,2
2019-01-17 04:24:00,5
2019-01-17 04:28:00,6
2019-01-17 04:32:00,2
2019-01-17 04:33:00,1
2019-01-17 04:34:00,1
2019-01-17 04:39:00,1
2019-01-17 04:41:00,1
2019-01-17 04:45:00,2
2019-01-17 04:46:00,2
2019-01-17 04:49:00,4
2019-01-17 04:53:00,2
2019-01-17 04:55:00,2
2019-01-17 04:59:00,2
