13,"SELECT TOP # p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND g BETWEEN # AND #"
2019-01-17 14:40:00,1
2019-01-17 14:43:00,1
2019-01-17 18:29:00,1
2019-01-17 18:31:00,1
2019-01-17 18:32:00,1
2019-01-17 18:33:00,1
2019-01-17 19:08:00,1
2019-01-17 19:09:00,1
2019-01-17 19:14:00,1
2019-01-17 19:15:00,1
2019-01-17 19:16:00,2
2019-01-17 23:01:00,1
