25609,"SELECT z, ra, dec, objID FROM SPECPhoto WHERE z> # AND z< # AND ra> # AND ra< # AND dec> # AND dec< # AND type=#"
2019-01-18 09:29:00,8167
2019-01-18 12:37:00,46
2019-01-18 12:38:00,744
2019-01-18 12:39:00,596
2019-01-18 12:44:00,731
2019-01-18 12:45:00,547
2019-01-18 12:48:00,969
2019-01-18 12:49:00,1127
2019-01-18 12:52:00,635
2019-01-18 12:53:00,1074
2019-01-18 12:55:00,1042
2019-01-18 12:56:00,1180
2019-01-18 12:57:00,940
2019-01-18 12:58:00,1091
2019-01-18 12:59:00,1603
2019-01-18 13:00:00,2045
2019-01-18 17:49:00,337
2019-01-18 17:50:00,854
2019-01-18 17:51:00,404
2019-01-18 18:06:00,370
2019-01-18 18:07:00,1097
2019-01-18 18:50:00,10
