36,"select psf2GSigma1_u, psf2GSigma1_g, psf2GSigma1_r, psf2GSigma1_i, psf2GSigma1_z, psf2GSigma2_u, psf2GSigma2_g, psf2GSigma2_r, psf2GSigma2_i, psf2GSigma2_z, psf2GB_u, psf2GB_g,psf2GB_r, psf2GB_i, psf2GB_z from Field where run = # and rerun = # and camcol = # and field = #"
2019-01-18 10:56:00,2
2019-01-18 10:58:00,1
2019-01-18 10:59:00,1
2019-01-18 11:45:00,1
2019-01-18 11:48:00,1
2019-01-18 11:49:00,1
2019-01-18 11:50:00,1
2019-01-18 12:02:00,1
2019-01-18 12:03:00,1
2019-01-18 12:04:00,1
2019-01-18 12:07:00,1
2019-01-18 12:09:00,1
2019-01-18 12:10:00,1
2019-01-18 12:13:00,1
2019-01-18 12:19:00,2
2019-01-18 12:30:00,1
2019-01-18 12:33:00,1
2019-01-18 12:53:00,1
2019-01-18 13:28:00,1
2019-01-18 13:29:00,1
2019-01-18 13:43:00,1
2019-01-18 14:01:00,1
2019-01-18 15:38:00,1
2019-01-18 15:42:00,1
2019-01-18 15:57:00,1
2019-01-18 16:22:00,1
2019-01-18 16:32:00,1
2019-01-18 16:43:00,1
2019-01-18 16:52:00,1
2019-01-18 17:02:00,1
2019-01-18 17:11:00,1
2019-01-18 17:50:00,1
2019-01-18 18:00:00,1
2019-01-18 18:09:00,1
