46,"select distinct p.run,p.rerun,p.camcol,p.field from dbo.fGetNearbyObjeq(#,#,#) p"
2019-01-24 06:42:00,1
2019-01-24 06:43:00,1
2019-01-24 06:44:00,1
2019-01-24 06:45:00,1
2019-01-24 06:46:00,2
2019-01-24 06:47:00,1
2019-01-24 06:50:00,1
2019-01-24 06:51:00,1
2019-01-24 06:53:00,1
2019-01-24 06:54:00,2
2019-01-24 06:56:00,1
2019-01-24 06:58:00,1
2019-01-24 06:59:00,1
2019-01-24 07:01:00,1
2019-01-24 07:02:00,1
2019-01-24 07:04:00,1
2019-01-24 07:05:00,1
2019-01-24 07:09:00,1
2019-01-24 07:10:00,2
2019-01-24 07:12:00,1
2019-01-24 07:13:00,1
2019-01-24 07:14:00,1
2019-01-24 07:15:00,1
2019-01-24 07:16:00,1
2019-01-24 07:17:00,1
2019-01-24 07:19:00,1
2019-01-24 07:20:00,1
2019-01-24 07:21:00,1
2019-01-24 07:22:00,1
2019-01-24 07:24:00,1
2019-01-24 07:26:00,1
2019-01-24 07:27:00,1
2019-01-24 07:28:00,1
2019-01-24 08:03:00,2
2019-01-24 08:05:00,1
2019-01-24 08:06:00,1
2019-01-24 08:07:00,1
2019-01-24 08:08:00,1
2019-01-24 08:09:00,2
2019-01-24 08:10:00,1
2019-01-24 08:11:00,1
