1881,select fieldid from field where a_g between # and # and skyframes_g between # and #
2019-01-24 13:28:00,72
2019-01-24 13:29:00,80
2019-01-24 13:32:00,87
2019-01-24 13:33:00,38
2019-01-24 13:34:00,44
2019-01-24 13:35:00,15
2019-01-24 13:36:00,18
2019-01-24 13:51:00,38
2019-01-24 13:52:00,43
2019-01-24 13:53:00,24
2019-01-24 14:21:00,1
2019-01-24 14:28:00,7
2019-01-24 14:29:00,65
2019-01-24 14:30:00,22
2019-01-24 14:35:00,2
2019-01-24 14:51:00,9
2019-01-24 14:52:00,4
2019-01-24 15:02:00,16
2019-01-24 15:03:00,26
2019-01-24 15:04:00,13
2019-01-24 15:11:00,11
2019-01-24 15:15:00,6
2019-01-24 15:16:00,6
2019-01-24 15:17:00,25
2019-01-24 15:18:00,2
2019-01-24 15:41:00,30
2019-01-24 15:47:00,1
2019-01-24 15:48:00,15
2019-01-24 16:22:00,5
2019-01-24 16:23:00,28
2019-01-24 16:24:00,13
2019-01-24 16:32:00,17
2019-01-24 16:33:00,31
2019-01-24 16:35:00,2
2019-01-24 16:43:00,19
2019-01-24 16:48:00,4
2019-01-24 16:49:00,1
2019-01-24 17:09:00,68
2019-01-24 17:10:00,77
2019-01-24 17:11:00,16
2019-01-24 17:12:00,13
2019-01-24 17:13:00,2
2019-01-24 17:26:00,17
2019-01-24 17:27:00,47
2019-01-24 17:28:00,34
2019-01-24 17:29:00,9
2019-01-24 17:50:00,1
2019-01-24 17:58:00,32
2019-01-24 17:59:00,80
2019-01-24 18:00:00,12
2019-01-24 18:05:00,1
2019-01-24 18:21:00,11
2019-01-24 18:31:00,6
2019-01-24 18:32:00,37
2019-01-24 18:33:00,15
2019-01-24 18:40:00,7
2019-01-24 18:44:00,8
2019-01-24 18:45:00,13
2019-01-24 18:46:00,10
2019-01-24 18:47:00,6
2019-01-24 19:10:00,18
2019-01-24 19:11:00,3
2019-01-24 19:17:00,19
2019-01-24 19:52:00,23
2019-01-24 19:53:00,23
2019-01-24 20:01:00,6
2019-01-24 20:02:00,43
2019-01-24 20:04:00,1
2019-01-24 20:05:00,1
2019-01-24 20:12:00,21
2019-01-24 20:18:00,7
2019-01-24 20:25:00,3
2019-01-24 20:32:00,19
2019-01-24 20:33:00,6
2019-01-24 20:41:00,2
2019-01-24 20:47:00,2
2019-01-24 20:50:00,9
2019-01-24 20:51:00,61
2019-01-24 20:52:00,47
2019-01-24 20:53:00,1
2019-01-24 21:19:00,1
2019-01-24 21:36:00,12
2019-01-24 21:43:00,5
2019-01-24 22:12:00,1
2019-01-24 22:13:00,4
2019-01-24 22:15:00,18
2019-01-24 22:19:00,5
2019-01-24 22:20:00,27
2019-01-24 22:38:00,3
2019-01-24 22:41:00,14
2019-01-24 22:42:00,4
2019-01-24 22:45:00,21
2019-01-24 22:51:00,16
2019-01-24 23:01:00,4
2019-01-24 23:02:00,1
2019-01-24 23:28:00,13
2019-01-24 23:32:00,2
2019-01-24 23:33:00,39
2019-01-24 23:34:00,5
2019-01-24 23:59:00,9
