22,SELECT DISTINCT p.r FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))
2019-01-25 06:49:00,1
2019-01-25 08:03:00,1
2019-01-25 09:46:00,2
2019-01-25 17:51:00,1
2019-01-25 17:52:00,1
2019-01-25 18:41:00,1
2019-01-25 18:48:00,1
2019-01-25 19:47:00,1
2019-01-25 19:49:00,1
2019-01-25 19:55:00,1
2019-01-25 19:57:00,1
2019-01-25 19:59:00,1
2019-01-25 20:00:00,1
2019-01-25 20:09:00,1
2019-01-25 20:25:00,1
2019-01-25 21:13:00,1
2019-01-25 21:17:00,1
2019-01-25 22:02:00,1
2019-01-25 22:03:00,1
2019-01-25 23:25:00,1
2019-01-25 23:26:00,1
