182,select fieldid from field where medianpsfcolor_z between .# and # and q_u between # and #
2019-01-25 01:13:00,1
2019-01-25 01:28:00,2
2019-01-25 01:42:00,3
2019-01-25 02:39:00,1
2019-01-25 02:40:00,2
2019-01-25 02:43:00,3
2019-01-25 02:44:00,2
2019-01-25 03:06:00,5
2019-01-25 03:08:00,1
2019-01-25 03:09:00,1
2019-01-25 04:14:00,2
2019-01-25 04:51:00,2
2019-01-25 04:52:00,1
2019-01-25 05:15:00,1
2019-01-25 05:16:00,3
2019-01-25 06:26:00,1
2019-01-25 06:28:00,1
2019-01-25 06:29:00,2
2019-01-25 06:32:00,1
2019-01-25 06:34:00,2
2019-01-25 06:40:00,1
2019-01-25 06:41:00,4
2019-01-25 06:42:00,2
2019-01-25 06:46:00,2
2019-01-25 06:47:00,1
2019-01-25 06:52:00,4
2019-01-25 06:57:00,4
2019-01-25 07:00:00,3
2019-01-25 07:01:00,9
2019-01-25 07:02:00,4
2019-01-25 07:04:00,4
2019-01-25 07:09:00,1
2019-01-25 07:10:00,3
2019-01-25 07:14:00,1
2019-01-25 07:16:00,2
2019-01-25 07:19:00,1
2019-01-25 07:20:00,5
2019-01-25 08:10:00,1
2019-01-25 08:11:00,2
2019-01-25 08:28:00,1
2019-01-25 08:40:00,7
2019-01-25 08:42:00,3
2019-01-25 08:43:00,1
2019-01-25 08:44:00,5
2019-01-25 08:45:00,3
2019-01-25 08:47:00,3
2019-01-25 08:48:00,1
2019-01-25 08:49:00,2
2019-01-25 08:51:00,5
2019-01-25 08:52:00,7
2019-01-25 08:55:00,5
2019-01-25 08:56:00,1
2019-01-25 09:01:00,2
2019-01-25 09:03:00,2
2019-01-25 09:05:00,1
2019-01-25 09:06:00,5
2019-01-25 09:07:00,1
2019-01-25 10:02:00,2
2019-01-25 10:12:00,2
2019-01-25 11:32:00,2
2019-01-25 11:37:00,1
2019-01-25 12:14:00,6
2019-01-25 12:16:00,6
2019-01-25 12:17:00,4
2019-01-25 12:19:00,2
2019-01-25 12:20:00,1
2019-01-25 12:21:00,2
2019-01-25 12:22:00,4
2019-01-25 12:56:00,1
2019-01-25 13:40:00,2
2019-01-25 13:43:00,1
