911,select fieldid from field where cccol_u between # and # and skyframes_r between .# and #
2019-01-28 02:52:00,2
2019-01-28 02:53:00,1
2019-01-28 02:55:00,2
2019-01-28 02:56:00,9
2019-01-28 02:57:00,4
2019-01-28 02:58:00,4
2019-01-28 03:00:00,2
2019-01-28 03:01:00,2
2019-01-28 03:03:00,5
2019-01-28 03:04:00,6
2019-01-28 03:05:00,1
2019-01-28 03:06:00,1
2019-01-28 03:07:00,3
2019-01-28 03:08:00,1
2019-01-28 03:09:00,3
2019-01-28 03:20:00,10
2019-01-28 13:25:00,8
2019-01-28 13:30:00,2
2019-01-28 14:15:00,2
2019-01-28 14:16:00,17
2019-01-28 14:17:00,5
2019-01-28 14:18:00,86
2019-01-28 14:19:00,17
2019-01-28 14:23:00,133
2019-01-28 14:24:00,61
2019-01-28 14:57:00,16
2019-01-28 15:08:00,4
2019-01-28 15:11:00,10
2019-01-28 15:21:00,1
2019-01-28 15:34:00,7
2019-01-28 15:37:00,1
2019-01-28 15:48:00,3
2019-01-28 15:53:00,2
2019-01-28 15:54:00,2
2019-01-28 15:55:00,2
2019-01-28 15:56:00,12
2019-01-28 15:57:00,2
2019-01-28 15:59:00,3
2019-01-28 17:51:00,22
2019-01-28 17:52:00,8
2019-01-28 19:18:00,5
2019-01-28 19:19:00,30
2019-01-28 19:21:00,19
2019-01-28 19:22:00,18
2019-01-28 19:23:00,4
2019-01-28 19:24:00,3
2019-01-28 19:25:00,13
2019-01-28 19:27:00,5
2019-01-28 19:28:00,7
2019-01-28 19:29:00,6
2019-01-28 19:30:00,20
2019-01-28 19:31:00,6
2019-01-28 19:32:00,5
2019-01-28 19:33:00,2
2019-01-28 19:34:00,13
2019-01-28 19:35:00,3
2019-01-28 19:38:00,3
2019-01-28 19:39:00,21
2019-01-28 19:45:00,2
2019-01-28 19:49:00,19
2019-01-28 19:50:00,15
2019-01-28 19:51:00,16
2019-01-28 19:52:00,40
2019-01-28 19:53:00,7
2019-01-28 19:58:00,8
2019-01-28 20:00:00,2
2019-01-28 20:01:00,3
2019-01-28 20:02:00,7
2019-01-28 20:04:00,13
2019-01-28 20:14:00,15
2019-01-28 20:15:00,12
2019-01-28 20:16:00,3
2019-01-28 20:17:00,6
2019-01-28 20:18:00,11
2019-01-28 20:19:00,6
2019-01-28 20:21:00,4
2019-01-28 20:22:00,5
2019-01-28 20:56:00,1
2019-01-28 20:57:00,4
2019-01-28 21:05:00,4
2019-01-28 21:09:00,3
2019-01-28 21:45:00,3
2019-01-28 21:46:00,2
2019-01-28 22:39:00,1
2019-01-28 22:40:00,2
2019-01-28 22:41:00,14
2019-01-28 22:46:00,3
2019-01-28 22:56:00,3
2019-01-28 22:58:00,5
2019-01-28 23:25:00,4
2019-01-28 23:26:00,3
