1780,"select psfSigma1_z, psfSigma2_z, psfB_z, psfP0_z, psfBeta_z, psfSigmaP_z, psfSigma1_u, psfSigma2_u, psfB_u, psfP0_u, psfBeta_u, psfSigmaP_u, psfSigma1_g, psfSigma2_g, psfB_g, psfP0_g, psfBeta_g, psfSigmaP_g, psfSigma1_r, psfSigma2_r, psfB_r, psfP0_r, psfBeta_r, psfSigmaP_r, psfSigma1_i, psfSigma2_i, psfB_i, psfP0_i, psfBeta_i, psfSigmaP_i from Field where run = # and rerun = # and camcol = # and field = #"
2019-01-29 12:30:00,1
2019-01-29 12:34:00,2
2019-01-29 12:35:00,2
2019-01-29 12:39:00,3
2019-01-29 12:40:00,6
2019-01-29 12:41:00,12
2019-01-29 12:42:00,15
2019-01-29 12:43:00,9
2019-01-29 12:44:00,6
2019-01-29 12:45:00,12
2019-01-29 12:46:00,10
2019-01-29 12:47:00,8
2019-01-29 12:49:00,18
2019-01-29 12:50:00,12
2019-01-29 12:51:00,12
2019-01-29 12:52:00,7
2019-01-29 12:53:00,8
2019-01-29 12:55:00,30
2019-01-29 12:58:00,30
2019-01-29 12:59:00,3
2019-01-29 13:00:00,9
2019-01-29 13:01:00,9
2019-01-29 13:03:00,30
2019-01-29 13:05:00,12
2019-01-29 13:06:00,9
2019-01-29 13:07:00,9
2019-01-29 13:08:00,6
2019-01-29 13:09:00,12
2019-01-29 13:10:00,9
2019-01-29 13:11:00,6
2019-01-29 13:12:00,9
2019-01-29 13:13:00,9
2019-01-29 13:14:00,12
2019-01-29 13:16:00,9
2019-01-29 13:17:00,21
2019-01-29 13:18:00,3
2019-01-29 13:20:00,30
2019-01-29 13:21:00,6
2019-01-29 13:22:00,6
2019-01-29 13:23:00,22
2019-01-29 13:24:00,2
2019-01-29 13:25:00,4
2019-01-29 13:26:00,20
2019-01-29 13:27:00,3
2019-01-29 13:28:00,12
2019-01-29 13:30:00,30
2019-01-29 13:31:00,3
2019-01-29 13:32:00,3
2019-01-29 13:33:00,18
2019-01-29 13:34:00,12
2019-01-29 13:35:00,6
2019-01-29 13:36:00,3
2019-01-29 13:37:00,5
2019-01-29 13:38:00,25
2019-01-29 13:39:00,6
2019-01-29 13:41:00,26
2019-01-29 13:42:00,4
2019-01-29 13:44:00,30
2019-01-29 15:46:00,1
2019-01-29 15:47:00,1
2019-01-29 16:25:00,6
2019-01-29 16:26:00,7
2019-01-29 16:28:00,3
2019-01-29 16:29:00,18
2019-01-29 16:32:00,14
2019-01-29 16:33:00,2
2019-01-29 16:34:00,6
2019-01-29 16:35:00,7
2019-01-29 16:36:00,1
2019-01-29 16:38:00,20
2019-01-29 16:39:00,2
2019-01-29 16:42:00,20
2019-01-29 16:46:00,20
2019-01-29 16:47:00,2
2019-01-29 16:48:00,6
2019-01-29 16:51:00,11
2019-01-29 16:52:00,9
2019-01-29 16:55:00,20
2019-01-29 16:59:00,20
2019-01-29 17:01:00,8
2019-01-29 17:02:00,4
2019-01-29 17:03:00,6
2019-01-29 17:06:00,20
2019-01-29 17:07:00,2
2019-01-29 17:08:00,4
2019-01-29 17:09:00,6
2019-01-29 17:10:00,6
2019-01-29 17:11:00,6
2019-01-29 17:12:00,2
2019-01-29 17:13:00,12
2019-01-29 17:16:00,20
2019-01-29 17:17:00,4
2019-01-29 17:18:00,4
2019-01-29 17:19:00,6
2019-01-29 17:20:00,8
2019-01-29 17:21:00,4
2019-01-29 17:23:00,5
2019-01-29 17:24:00,15
2019-01-29 17:25:00,6
2019-01-29 17:26:00,8
2019-01-29 17:27:00,6
