6666,"SELECT G.objID as sdss_ID, G.ra as RA, G.dec as DEC, P.z as redshift, p.zErr as redshift_err, G.modelMag_u as MODEL_MAG_U, G.modelMag_g as MODEL_MAG_G, G.modelMag_r as MODEL_MAG_R, G.modelMag_i as MODEL_MAG_I, G.modelMag_z as MODEL_MAG_Z, G.modelMagErr_u as MODEL_MAG_U_err, G.modelMagErr_g as MODEL_MAG_G_err, G.modelMagErr_r as MODEL_MAG_R_err, G.modelMagErr_i as MODEL_MAG_I_err, G.modelMagErr_z as MODEL_MAG_Z_err, P.absMagU, P.absMagG, P.absMagR, P.absMagI, P.absMagZ FROM Galaxy as G JOIN dbo.fGetNearbyObjEq(#,#,#) AS GN ON G.objID = GN.objID JOIN Photoz as P ON P.objID = G.objID"
2019-02-01 18:16:00,31
2019-02-01 18:17:00,54
2019-02-01 18:18:00,50
2019-02-01 18:19:00,41
2019-02-01 18:20:00,45
2019-02-01 18:21:00,42
2019-02-01 18:22:00,39
2019-02-01 18:23:00,39
2019-02-01 18:24:00,37
2019-02-01 18:25:00,36
2019-02-01 18:26:00,34
2019-02-01 18:27:00,32
2019-02-01 18:28:00,33
2019-02-01 18:29:00,31
2019-02-01 18:30:00,31
2019-02-01 18:31:00,30
2019-02-01 18:32:00,30
2019-02-01 18:33:00,25
2019-02-01 18:34:00,30
2019-02-01 18:35:00,28
2019-02-01 18:36:00,28
2019-02-01 18:37:00,28
2019-02-01 18:38:00,26
2019-02-01 18:39:00,27
2019-02-01 18:40:00,26
2019-02-01 18:41:00,26
2019-02-01 18:42:00,25
2019-02-01 18:43:00,25
2019-02-01 18:44:00,24
2019-02-01 18:45:00,25
2019-02-01 18:46:00,23
2019-02-01 18:47:00,23
2019-02-01 18:48:00,24
2019-02-01 18:49:00,23
2019-02-01 18:50:00,21
2019-02-01 18:51:00,22
2019-02-01 18:52:00,21
2019-02-01 18:53:00,21
2019-02-01 18:54:00,21
2019-02-01 18:55:00,21
2019-02-01 18:56:00,21
2019-02-01 18:57:00,20
2019-02-01 18:58:00,20
2019-02-01 18:59:00,20
2019-02-01 19:00:00,22
2019-02-01 19:01:00,21
2019-02-01 19:02:00,20
2019-02-01 19:03:00,21
2019-02-01 19:04:00,20
2019-02-01 19:05:00,20
2019-02-01 19:06:00,19
2019-02-01 19:07:00,18
2019-02-01 19:08:00,19
2019-02-01 19:09:00,19
2019-02-01 19:10:00,18
2019-02-01 19:11:00,18
2019-02-01 19:12:00,18
2019-02-01 19:13:00,18
2019-02-01 19:14:00,18
2019-02-01 19:15:00,18
2019-02-01 19:16:00,17
2019-02-01 19:17:00,18
2019-02-01 19:18:00,17
2019-02-01 19:19:00,17
2019-02-01 19:20:00,17
2019-02-01 19:21:00,16
2019-02-01 19:22:00,17
2019-02-01 19:23:00,17
2019-02-01 19:24:00,15
2019-02-01 19:25:00,17
2019-02-01 19:26:00,16
2019-02-01 19:27:00,17
2019-02-01 19:28:00,17
2019-02-01 19:29:00,17
2019-02-01 19:30:00,15
2019-02-01 19:31:00,15
2019-02-01 19:32:00,17
2019-02-01 19:33:00,15
2019-02-01 19:34:00,15
2019-02-01 19:35:00,16
2019-02-01 19:36:00,16
2019-02-01 19:37:00,15
2019-02-01 19:38:00,15
2019-02-01 19:39:00,15
2019-02-01 19:40:00,14
2019-02-01 19:41:00,14
2019-02-01 19:42:00,15
2019-02-01 19:43:00,15
2019-02-01 19:44:00,15
2019-02-01 19:45:00,14
2019-02-01 19:46:00,15
2019-02-01 19:47:00,15
2019-02-01 19:48:00,14
2019-02-01 19:49:00,15
2019-02-01 19:50:00,14
2019-02-01 19:51:00,14
2019-02-01 19:52:00,15
2019-02-01 19:53:00,14
2019-02-01 19:54:00,15
2019-02-01 19:55:00,13
2019-02-01 19:56:00,12
2019-02-01 19:57:00,13
2019-02-01 19:58:00,14
2019-02-01 19:59:00,13
2019-02-01 20:00:00,14
2019-02-01 20:01:00,13
2019-02-01 20:02:00,14
2019-02-01 20:03:00,13
2019-02-01 20:04:00,14
2019-02-01 20:05:00,13
2019-02-01 20:06:00,13
2019-02-01 20:07:00,1
2019-02-01 20:11:00,53
2019-02-01 20:12:00,56
2019-02-01 20:13:00,52
2019-02-01 20:14:00,48
2019-02-01 20:15:00,47
2019-02-01 20:16:00,45
2019-02-01 20:17:00,43
2019-02-01 20:18:00,41
2019-02-01 20:19:00,40
2019-02-01 20:20:00,39
2019-02-01 20:21:00,38
2019-02-01 20:22:00,15
2019-02-01 21:12:00,4
2019-02-01 21:13:00,59
2019-02-01 21:14:00,55
2019-02-01 21:15:00,50
2019-02-01 21:16:00,49
2019-02-01 21:17:00,46
2019-02-01 21:18:00,44
2019-02-01 21:19:00,42
2019-02-01 21:20:00,40
2019-02-01 21:21:00,39
2019-02-01 21:22:00,37
2019-02-01 21:23:00,34
2019-02-01 21:24:00,37
2019-02-01 21:25:00,35
2019-02-01 21:26:00,34
2019-02-01 21:27:00,34
2019-02-01 21:28:00,33
2019-02-01 21:29:00,31
2019-02-01 21:30:00,32
2019-02-01 21:31:00,30
2019-02-01 21:32:00,31
2019-02-01 21:33:00,30
2019-02-01 21:34:00,30
2019-02-01 21:35:00,30
2019-02-01 21:36:00,29
2019-02-01 21:37:00,29
2019-02-01 21:38:00,27
2019-02-01 21:39:00,27
2019-02-01 21:40:00,26
2019-02-01 21:41:00,25
2019-02-01 21:42:00,25
2019-02-01 21:43:00,6
2019-02-01 22:24:00,17
2019-02-01 22:25:00,59
2019-02-01 22:26:00,68
2019-02-01 22:27:00,109
2019-02-01 22:28:00,107
2019-02-01 22:29:00,101
2019-02-01 22:30:00,97
2019-02-01 22:31:00,93
2019-02-01 22:32:00,89
2019-02-01 22:33:00,82
2019-02-01 22:34:00,64
2019-02-01 22:35:00,41
2019-02-01 22:36:00,40
2019-02-01 22:37:00,39
2019-02-01 22:38:00,38
2019-02-01 22:39:00,37
2019-02-01 22:40:00,36
2019-02-01 22:41:00,37
2019-02-01 22:42:00,35
2019-02-01 22:43:00,34
2019-02-01 22:44:00,33
2019-02-01 22:45:00,33
2019-02-01 22:46:00,31
2019-02-01 22:47:00,31
2019-02-01 22:48:00,31
2019-02-01 22:49:00,32
2019-02-01 22:50:00,28
2019-02-01 23:23:00,35
2019-02-01 23:24:00,61
2019-02-01 23:25:00,55
2019-02-01 23:26:00,51
2019-02-01 23:27:00,48
2019-02-01 23:28:00,46
2019-02-01 23:29:00,44
2019-02-01 23:30:00,36
2019-02-01 23:31:00,43
2019-02-01 23:32:00,40
2019-02-01 23:33:00,40
2019-02-01 23:34:00,38
2019-02-01 23:35:00,38
2019-02-01 23:36:00,36
2019-02-01 23:37:00,35
2019-02-01 23:38:00,34
2019-02-01 23:39:00,34
2019-02-01 23:40:00,32
