13,"select p.ra, p.dec, p.i, p.Err_i from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_i <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-02-05 03:30:00,1
2019-02-05 03:49:00,1
2019-02-05 04:10:00,1
2019-02-05 05:21:00,1
2019-02-05 06:03:00,1
2019-02-05 06:39:00,1
2019-02-05 06:50:00,1
2019-02-05 07:11:00,1
2019-02-05 16:39:00,2
2019-02-05 20:07:00,1
2019-02-05 20:25:00,1
2019-02-05 20:43:00,1
