49,update ParametersS with (tablockx) set progress=# where hash=# and progress<#
2019-02-09 18:35:00,1
2019-02-09 18:36:00,1
2019-02-09 18:43:00,1
2019-02-09 18:44:00,1
2019-02-09 18:45:00,1
2019-02-09 18:46:00,1
2019-02-09 18:47:00,1
2019-02-09 18:48:00,2
2019-02-09 18:49:00,1
2019-02-09 18:50:00,3
2019-02-09 18:52:00,1
2019-02-09 18:53:00,5
2019-02-09 18:54:00,6
2019-02-09 18:55:00,5
2019-02-09 18:56:00,5
2019-02-09 18:57:00,1
2019-02-09 18:58:00,2
2019-02-09 18:59:00,2
2019-02-09 19:00:00,2
2019-02-09 19:03:00,2
2019-02-09 19:04:00,2
2019-02-09 19:05:00,2
2019-02-09 19:06:00,1
