20,"select all survey, programname, plate, mjd, fiberid, ra, dec, snmedian from specobjall where plate=&&& and mjd=&&& and fiberid=&&&"
2019-02-10 10:00:00,1
2019-02-10 10:04:00,1
2019-02-10 10:05:00,1
2019-02-10 10:07:00,1
2019-02-10 10:09:00,1
2019-02-10 10:11:00,1
2019-02-10 10:13:00,1
2019-02-10 10:14:00,1
2019-02-10 10:15:00,1
2019-02-10 10:17:00,1
2019-02-10 10:28:00,1
2019-02-10 10:39:00,1
2019-02-10 10:41:00,1
2019-02-10 10:43:00,1
2019-02-10 10:44:00,1
2019-02-10 10:51:00,1
2019-02-10 11:00:00,1
2019-02-10 11:01:00,2
2019-02-10 11:02:00,1
