4852,"SELECT DISTINCT p.u, p.g, p.r, p.i, p.z, s.Z, s.class FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-02-16 12:40:00,10
2019-02-16 12:41:00,126
2019-02-16 12:42:00,128
2019-02-16 12:43:00,128
2019-02-16 12:44:00,123
2019-02-16 12:45:00,131
2019-02-16 12:46:00,141
2019-02-16 12:47:00,129
2019-02-16 12:48:00,146
2019-02-16 12:49:00,125
2019-02-16 12:50:00,137
2019-02-16 12:51:00,134
2019-02-16 12:52:00,131
2019-02-16 12:53:00,132
2019-02-16 12:54:00,134
2019-02-16 12:55:00,123
2019-02-16 12:56:00,130
2019-02-16 12:57:00,124
2019-02-16 12:58:00,120
2019-02-16 12:59:00,133
2019-02-16 13:00:00,129
2019-02-16 13:01:00,139
2019-02-16 13:02:00,137
2019-02-16 13:03:00,147
2019-02-16 13:04:00,98
2019-02-16 13:14:00,59
2019-02-16 13:15:00,147
2019-02-16 13:16:00,159
2019-02-16 13:17:00,170
2019-02-16 13:18:00,171
2019-02-16 13:19:00,159
2019-02-16 13:20:00,168
2019-02-16 13:21:00,179
2019-02-16 13:22:00,157
2019-02-16 13:23:00,156
2019-02-16 13:24:00,147
2019-02-16 13:25:00,45
