5606,"SELECT  top #   p.objID, p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-02-22 00:01:00,28
2019-02-22 00:03:00,10
2019-02-22 00:11:00,39
2019-02-22 00:13:00,10
2019-02-22 00:21:00,33
2019-02-22 00:23:00,11
2019-02-22 00:31:00,29
2019-02-22 00:32:00,2
2019-02-22 00:33:00,10
2019-02-22 00:41:00,29
2019-02-22 00:43:00,9
2019-02-22 00:51:00,30
2019-02-22 00:53:00,10
2019-02-22 01:01:00,32
2019-02-22 01:03:00,9
2019-02-22 01:11:00,33
2019-02-22 01:13:00,9
2019-02-22 01:21:00,23
2019-02-22 01:22:00,9
2019-02-22 01:23:00,9
2019-02-22 01:31:00,30
2019-02-22 01:32:00,2
2019-02-22 01:33:00,9
2019-02-22 01:41:00,27
2019-02-22 01:42:00,2
2019-02-22 01:43:00,9
2019-02-22 01:51:00,21
2019-02-22 01:52:00,7
2019-02-22 01:53:00,9
2019-02-22 02:01:00,24
2019-02-22 02:02:00,9
2019-02-22 02:03:00,10
2019-02-22 02:11:00,21
2019-02-22 02:12:00,7
2019-02-22 02:13:00,9
2019-02-22 02:21:00,20
2019-02-22 02:22:00,9
2019-02-22 02:23:00,9
2019-02-22 02:31:00,21
2019-02-22 02:32:00,6
2019-02-22 02:33:00,9
2019-02-22 02:41:00,11
2019-02-22 02:42:00,17
2019-02-22 02:43:00,9
2019-02-22 02:51:00,11
2019-02-22 02:52:00,16
2019-02-22 02:53:00,9
2019-02-22 03:01:00,12
2019-02-22 03:02:00,18
2019-02-22 03:03:00,10
2019-02-22 03:11:00,12
2019-02-22 03:12:00,19
2019-02-22 03:13:00,9
2019-02-22 03:21:00,11
2019-02-22 03:22:00,17
2019-02-22 03:23:00,9
2019-02-22 03:31:00,11
2019-02-22 03:32:00,17
2019-02-22 03:33:00,9
2019-02-22 03:41:00,11
2019-02-22 03:42:00,17
2019-02-22 03:43:00,10
2019-02-22 03:51:00,12
2019-02-22 03:52:00,18
2019-02-22 03:53:00,10
2019-02-22 04:01:00,15
2019-02-22 04:02:00,17
2019-02-22 04:03:00,9
2019-02-22 04:11:00,10
2019-02-22 04:12:00,20
2019-02-22 04:13:00,9
2019-02-22 04:21:00,9
2019-02-22 04:22:00,20
2019-02-22 04:23:00,9
2019-02-22 04:31:00,9
2019-02-22 04:32:00,21
2019-02-22 04:33:00,9
2019-02-22 04:41:00,9
2019-02-22 04:42:00,19
2019-02-22 04:43:00,10
2019-02-22 04:51:00,9
2019-02-22 04:52:00,20
2019-02-22 04:53:00,9
2019-02-22 05:01:00,9
