13,"SELECT  top #   p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID  AND p.u BETWEEN # AND #"
2019-02-23 00:07:00,1
2019-02-23 01:19:00,1
2019-02-23 01:54:00,1
2019-02-23 02:24:00,1
2019-02-23 05:39:00,1
2019-02-23 09:34:00,1
2019-02-23 14:16:00,1
2019-02-23 15:23:00,1
2019-02-23 16:41:00,1
2019-02-23 19:03:00,1
2019-02-23 20:28:00,1
2019-02-23 20:52:00,1
2019-02-23 23:09:00,1
