55,"select p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z FROM PhotoPrimary AS p WHERE type=# AND ((flags_r & #) != #)AND ((flags_r & #) = #)AND (((flags_r & #) = #) or (psfmagerr_g <= #))AND (((flags_r & #) = #) or (flags_r & #) = #)AND p.ra BETWEEN (#-#) AND (#+#) AND p.dec BETWEEN (#-#) AND (#+#) ORDER BY p.objid"
2019-02-24 06:27:00,1
2019-02-24 06:44:00,1
2019-02-24 06:54:00,1
2019-02-24 07:08:00,1
2019-02-24 07:12:00,1
2019-02-24 07:16:00,1
2019-02-24 15:56:00,1
2019-02-24 15:59:00,1
2019-02-24 16:03:00,1
2019-02-24 16:07:00,1
2019-02-24 16:10:00,1
2019-02-24 16:13:00,1
2019-02-24 16:16:00,1
2019-02-24 16:20:00,1
2019-02-24 16:24:00,1
2019-02-24 16:27:00,1
2019-02-24 16:31:00,2
2019-02-24 16:34:00,1
2019-02-24 16:35:00,1
2019-02-24 16:38:00,2
2019-02-24 16:41:00,2
2019-02-24 16:46:00,1
2019-02-24 16:47:00,1
2019-02-24 16:53:00,2
2019-02-24 16:59:00,1
2019-02-24 17:01:00,1
2019-02-24 17:04:00,1
2019-02-24 17:05:00,1
2019-02-24 17:09:00,1
2019-02-24 17:10:00,1
2019-02-24 17:14:00,2
2019-02-24 17:17:00,1
2019-02-24 17:18:00,1
2019-02-24 17:22:00,1
2019-02-24 17:26:00,1
2019-02-24 17:28:00,1
2019-02-24 17:29:00,1
2019-02-24 17:31:00,1
2019-02-24 17:33:00,1
2019-02-24 17:42:00,1
2019-02-24 17:43:00,1
2019-02-24 17:52:00,1
2019-02-24 17:53:00,1
2019-02-24 18:01:00,1
2019-02-24 18:03:00,1
2019-02-24 18:08:00,1
2019-02-24 18:12:00,1
2019-02-24 18:15:00,1
2019-02-24 18:22:00,2
