1612,"SELECT objid, cModelFlux_u, cModelFluxIvar_u, cModelFlux_g, cModelFluxIvar_g, cModelFlux_r, cModelFluxIvar_r, cModelFlux_i, cModelFluxIvar_i, cModelFlux_z, cModelFluxIvar_z FROM PhotoObj WHERE objid=#"
2019-02-25 13:28:00,8
2019-02-25 14:34:00,1
2019-02-25 14:35:00,9
2019-02-25 14:36:00,11
2019-02-25 14:37:00,11
2019-02-25 14:38:00,11
2019-02-25 14:39:00,11
2019-02-25 14:40:00,6
2019-02-25 14:41:00,11
2019-02-25 14:42:00,11
2019-02-25 14:43:00,12
2019-02-25 14:44:00,10
2019-02-25 14:45:00,14
2019-02-25 14:46:00,11
2019-02-25 14:47:00,11
2019-02-25 14:48:00,9
2019-02-25 14:49:00,3
2019-02-25 14:50:00,5
2019-02-25 14:51:00,8
2019-02-25 14:52:00,10
2019-02-25 14:53:00,1
2019-02-25 14:54:00,6
2019-02-25 14:55:00,5
2019-02-25 14:56:00,4
2019-02-25 14:57:00,6
2019-02-25 14:58:00,8
2019-02-25 14:59:00,8
2019-02-25 15:00:00,6
2019-02-25 15:01:00,5
2019-02-25 15:02:00,7
2019-02-25 15:03:00,6
2019-02-25 15:04:00,7
2019-02-25 15:05:00,7
2019-02-25 15:06:00,3
2019-02-25 15:07:00,6
2019-02-25 15:08:00,8
2019-02-25 15:09:00,8
2019-02-25 15:10:00,8
2019-02-25 15:11:00,9
2019-02-25 15:12:00,9
2019-02-25 15:13:00,7
2019-02-25 15:14:00,8
2019-02-25 15:15:00,7
2019-02-25 15:16:00,7
2019-02-25 15:17:00,6
2019-02-25 15:18:00,8
2019-02-25 15:19:00,5
2019-02-25 15:20:00,6
2019-02-25 15:21:00,6
2019-02-25 15:22:00,11
2019-02-25 15:23:00,7
2019-02-25 15:24:00,8
2019-02-25 15:25:00,8
2019-02-25 15:26:00,4
2019-02-25 15:27:00,9
2019-02-25 15:28:00,7
2019-02-25 15:29:00,8
2019-02-25 15:30:00,6
2019-02-25 15:31:00,6
2019-02-25 15:32:00,8
2019-02-25 15:33:00,9
