46,"SELECT DISTINCT p.ra, p.dec, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-02-26 14:55:00,1
2019-02-26 15:02:00,1
2019-02-26 15:04:00,1
2019-02-26 15:11:00,1
2019-02-26 15:12:00,2
2019-02-26 15:19:00,1
2019-02-26 15:24:00,1
2019-02-26 15:26:00,1
2019-02-26 15:30:00,2
2019-02-26 15:36:00,1
2019-02-26 15:38:00,1
2019-02-26 15:39:00,1
2019-02-26 16:00:00,1
2019-02-26 16:03:00,2
2019-02-26 16:05:00,2
2019-02-26 16:09:00,1
2019-02-26 16:10:00,1
2019-02-26 16:16:00,1
2019-02-26 16:17:00,1
2019-02-26 16:23:00,2
2019-02-26 16:58:00,1
2019-02-26 17:05:00,1
2019-02-26 18:06:00,1
2019-02-26 18:11:00,1
2019-02-26 18:16:00,1
2019-02-26 18:20:00,1
2019-02-26 18:50:00,1
2019-02-26 18:55:00,1
2019-02-26 19:05:00,2
2019-02-26 19:21:00,1
2019-02-26 19:55:00,1
2019-02-26 19:58:00,1
2019-02-26 20:30:00,1
2019-02-26 20:36:00,1
2019-02-26 20:41:00,1
2019-02-26 20:42:00,1
2019-02-26 20:45:00,1
2019-02-26 20:47:00,1
2019-02-26 20:55:00,1
2019-02-26 20:57:00,1
