1676,select fieldid from field where devmodelapcorrection_i between # and # and psfb_u between # and #
2019-02-26 10:27:00,6
2019-02-26 10:28:00,13
2019-02-26 10:29:00,5
2019-02-26 10:32:00,1
2019-02-26 10:33:00,1
2019-02-26 10:56:00,10
2019-02-26 11:48:00,9
2019-02-26 11:49:00,225
2019-02-26 11:50:00,50
2019-02-26 11:51:00,230
2019-02-26 11:52:00,100
2019-02-26 12:02:00,8
2019-02-26 12:03:00,5
2019-02-26 12:07:00,134
2019-02-26 12:08:00,205
2019-02-26 12:49:00,2
2019-02-26 12:50:00,6
2019-02-26 12:56:00,3
2019-02-26 12:57:00,1
2019-02-26 12:58:00,3
2019-02-26 12:59:00,2
2019-02-26 13:05:00,93
2019-02-26 13:06:00,16
2019-02-26 13:08:00,121
2019-02-26 13:36:00,3
2019-02-26 13:42:00,79
2019-02-26 13:43:00,146
2019-02-26 13:44:00,84
2019-02-26 13:45:00,115
