25,"select top # p.ra, p.dec, p.deVRad_r, q.z from galaxy p, dbo.fgetNearByObjEq(#,#,#) n, galSpecInfo q where p.objid=n.objid and p.specObjID=q.specObjID and p.specObjID<># and q.z>#"
2019-02-26 18:48:00,1
2019-02-26 18:49:00,2
2019-02-26 18:51:00,2
2019-02-26 18:52:00,2
2019-02-26 18:53:00,2
2019-02-26 18:54:00,2
2019-02-26 18:55:00,2
2019-02-26 18:56:00,2
2019-02-26 18:57:00,3
2019-02-26 18:58:00,2
2019-02-26 18:59:00,2
2019-02-26 19:00:00,1
2019-02-26 19:22:00,1
2019-02-26 23:46:00,1
