18,"select top # p.ra, p.dec, p.deVRad_r, q.z  from galaxy p, dbo.fgetNearByObjEq(#,#,#) n, galSpecInfo q  where p.objid=n.objid  and p.specObjID=q.specObjID  and p.specObjID<># and q.z>#"
2019-02-27 15:07:00,1
2019-02-27 15:10:00,1
2019-02-27 15:15:00,1
2019-02-27 15:16:00,1
2019-02-27 15:22:00,1
2019-02-27 15:23:00,1
2019-02-27 15:24:00,1
2019-02-27 15:25:00,1
2019-02-27 15:27:00,1
2019-02-27 15:30:00,2
2019-02-27 20:29:00,1
2019-02-27 20:31:00,2
2019-02-27 20:41:00,3
2019-02-27 20:44:00,1
