87,select objid from photoprimary where photoprimary.dec between .# and # and photoprimary.ra between # and #
2019-02-27 00:00:00,1
2019-02-27 00:02:00,1
2019-02-27 00:03:00,2
2019-02-27 00:07:00,4
2019-02-27 00:09:00,1
2019-02-27 00:10:00,2
2019-02-27 00:11:00,2
2019-02-27 00:12:00,1
2019-02-27 00:25:00,1
2019-02-27 00:26:00,1
2019-02-27 00:27:00,2
2019-02-27 00:28:00,1
2019-02-27 00:29:00,1
2019-02-27 00:30:00,2
2019-02-27 00:31:00,2
2019-02-27 00:32:00,1
2019-02-27 00:33:00,2
2019-02-27 00:34:00,2
2019-02-27 00:35:00,1
2019-02-27 00:43:00,2
2019-02-27 00:44:00,1
2019-02-27 00:45:00,1
2019-02-27 00:46:00,1
2019-02-27 00:47:00,1
2019-02-27 00:48:00,1
2019-02-27 00:49:00,3
2019-02-27 00:50:00,2
2019-02-27 00:52:00,2
2019-02-27 00:57:00,1
2019-02-27 00:58:00,1
2019-02-27 01:03:00,1
2019-02-27 01:06:00,1
2019-02-27 01:27:00,1
2019-02-27 01:29:00,1
2019-02-27 06:37:00,2
2019-02-27 07:00:00,1
2019-02-27 07:53:00,1
2019-02-27 08:11:00,1
2019-02-27 12:18:00,1
2019-02-27 12:19:00,7
2019-02-27 13:28:00,2
2019-02-27 13:58:00,1
2019-02-27 13:59:00,1
2019-02-27 14:27:00,4
2019-02-27 14:28:00,2
2019-02-27 14:31:00,2
2019-02-27 14:32:00,4
2019-02-27 14:33:00,2
2019-02-27 14:34:00,2
2019-02-27 15:00:00,1
2019-02-27 15:02:00,2
2019-02-27 15:04:00,1
