37,select description from DataConstants where field=&&&  and [name]=&&&
2019-03-01 03:03:00,1
2019-03-01 04:28:00,1
2019-03-01 04:37:00,1
2019-03-01 11:14:00,1
2019-03-01 11:15:00,3
2019-03-01 11:59:00,1
2019-03-01 12:00:00,2
2019-03-01 12:01:00,1
2019-03-01 12:02:00,1
2019-03-01 12:03:00,2
2019-03-01 12:04:00,1
2019-03-01 12:05:00,2
2019-03-01 12:06:00,1
2019-03-01 12:08:00,1
2019-03-01 12:09:00,2
2019-03-01 12:13:00,1
2019-03-01 12:14:00,2
2019-03-01 12:15:00,1
2019-03-01 12:16:00,2
2019-03-01 12:17:00,1
2019-03-01 12:18:00,2
2019-03-01 12:36:00,1
2019-03-01 12:37:00,2
2019-03-01 12:45:00,1
2019-03-01 17:02:00,1
2019-03-01 20:17:00,1
2019-03-01 21:21:00,1
