20,"SELECT str(P.dered_g,#,#), str(P.dered_r,#,#), str(P.dered_i,#,#), str(P.petroMag_g-P.extinction_g,#,#), str(P.petroMag_r-P.extinction_r,#,#), str(P.petroMag_i-P.extinction_i,#,#), P.objID, P.petroR5#_r, P.petroR9#_r, P.fracDeV_r, P.deVAB_r, P.expAB_r FROM dbo.fGetNearestObjEq(#,#,#) as b, BESTDR7..Galaxy as P WHERE b.objID = P.objID"
2019-03-03 04:03:00,1
2019-03-03 04:36:00,1
2019-03-03 04:57:00,1
2019-03-03 05:36:00,1
2019-03-03 05:57:00,1
2019-03-03 08:07:00,1
2019-03-03 08:23:00,1
2019-03-03 08:31:00,1
2019-03-03 08:38:00,1
2019-03-03 08:39:00,1
2019-03-03 08:40:00,1
2019-03-03 08:49:00,1
2019-03-03 08:59:00,1
2019-03-03 09:13:00,1
2019-03-03 09:22:00,1
2019-03-03 10:40:00,1
2019-03-03 10:41:00,1
2019-03-03 11:03:00,1
2019-03-03 11:44:00,1
2019-03-03 12:13:00,1
