1125,"SELECT objid, ra, dec FROM PhotoObj WHERE objid=#"
2019-03-03 07:19:00,2
2019-03-03 07:20:00,6
2019-03-03 07:21:00,11
2019-03-03 07:22:00,10
2019-03-03 07:23:00,14
2019-03-03 07:24:00,12
2019-03-03 07:25:00,11
2019-03-03 07:26:00,12
2019-03-03 07:27:00,12
2019-03-03 07:28:00,11
2019-03-03 07:29:00,14
2019-03-03 07:30:00,13
2019-03-03 07:31:00,11
2019-03-03 07:32:00,11
2019-03-03 07:33:00,12
2019-03-03 07:34:00,13
2019-03-03 07:35:00,12
2019-03-03 07:36:00,12
2019-03-03 07:37:00,11
2019-03-03 07:38:00,12
2019-03-03 07:39:00,11
2019-03-03 07:40:00,11
2019-03-03 07:41:00,11
2019-03-03 07:42:00,12
2019-03-03 07:43:00,13
2019-03-03 07:44:00,12
2019-03-03 07:45:00,14
2019-03-03 07:46:00,13
2019-03-03 07:47:00,10
2019-03-03 07:48:00,11
2019-03-03 07:49:00,11
2019-03-03 07:56:00,3
2019-03-03 07:57:00,11
2019-03-03 07:58:00,11
2019-03-03 07:59:00,11
2019-03-03 08:00:00,14
2019-03-03 08:01:00,12
2019-03-03 08:02:00,10
2019-03-03 08:03:00,12
2019-03-03 08:04:00,13
2019-03-03 08:05:00,6
2019-03-03 08:06:00,10
2019-03-03 08:07:00,12
2019-03-03 08:08:00,11
2019-03-03 08:09:00,12
2019-03-03 08:10:00,11
2019-03-03 08:11:00,12
2019-03-03 08:12:00,13
2019-03-03 08:13:00,10
2019-03-03 08:14:00,11
2019-03-03 08:15:00,11
2019-03-03 08:16:00,12
2019-03-03 08:17:00,10
2019-03-03 08:18:00,11
2019-03-03 08:19:00,11
2019-03-03 08:20:00,13
2019-03-03 08:21:00,12
2019-03-03 08:22:00,12
2019-03-03 08:23:00,11
2019-03-03 08:24:00,12
2019-03-03 08:25:00,11
2019-03-03 08:26:00,10
2019-03-03 08:27:00,10
2019-03-03 08:28:00,12
2019-03-03 08:29:00,10
2019-03-03 08:30:00,11
2019-03-03 08:31:00,14
2019-03-03 08:32:00,12
2019-03-03 08:33:00,11
2019-03-03 08:34:00,10
2019-03-03 08:35:00,10
2019-03-03 08:36:00,13
2019-03-03 08:37:00,13
2019-03-03 08:38:00,12
2019-03-03 08:39:00,10
2019-03-03 08:40:00,10
2019-03-03 08:41:00,11
2019-03-03 08:42:00,12
2019-03-03 08:43:00,11
2019-03-03 08:44:00,12
2019-03-03 08:45:00,12
2019-03-03 08:46:00,11
2019-03-03 08:47:00,12
2019-03-03 08:48:00,12
2019-03-03 08:49:00,10
2019-03-03 08:50:00,13
2019-03-03 08:51:00,10
2019-03-03 08:52:00,12
2019-03-03 08:53:00,14
2019-03-03 08:54:00,14
2019-03-03 08:55:00,10
2019-03-03 08:56:00,13
2019-03-03 08:57:00,10
2019-03-03 08:58:00,11
2019-03-03 08:59:00,14
2019-03-03 09:00:00,11
2019-03-03 09:01:00,10
2019-03-03 09:02:00,1
2019-03-03 10:13:00,3
2019-03-03 10:14:00,7
2019-03-03 10:15:00,5
2019-03-03 10:16:00,5
2019-03-03 10:17:00,6
2019-03-03 10:18:00,3
