116,select * from Photoz where objid=#
2019-03-05 00:11:00,1
2019-03-05 00:35:00,11
2019-03-05 00:36:00,2
2019-03-05 00:42:00,1
2019-03-05 01:11:00,1
2019-03-05 01:27:00,1
2019-03-05 01:45:00,1
2019-03-05 02:32:00,1
2019-03-05 02:35:00,1
2019-03-05 03:23:00,1
2019-03-05 03:28:00,1
2019-03-05 03:35:00,1
2019-03-05 03:38:00,1
2019-03-05 03:52:00,1
2019-03-05 03:57:00,1
2019-03-05 03:58:00,1
2019-03-05 04:27:00,1
2019-03-05 04:30:00,1
2019-03-05 04:36:00,1
2019-03-05 04:50:00,1
2019-03-05 05:07:00,1
2019-03-05 05:18:00,1
2019-03-05 05:24:00,1
2019-03-05 05:37:00,1
2019-03-05 05:54:00,1
2019-03-05 06:36:00,1
2019-03-05 06:57:00,1
2019-03-05 07:03:00,1
2019-03-05 07:17:00,1
2019-03-05 07:39:00,1
2019-03-05 08:06:00,1
2019-03-05 08:29:00,1
2019-03-05 08:38:00,2
2019-03-05 09:03:00,1
2019-03-05 09:19:00,1
2019-03-05 09:26:00,1
2019-03-05 09:43:00,1
2019-03-05 09:56:00,1
2019-03-05 10:26:00,1
2019-03-05 10:39:00,1
2019-03-05 10:47:00,1
2019-03-05 10:54:00,1
2019-03-05 10:58:00,1
2019-03-05 11:04:00,1
2019-03-05 11:28:00,1
2019-03-05 11:33:00,1
2019-03-05 11:37:00,2
2019-03-05 11:38:00,1
2019-03-05 11:46:00,1
2019-03-05 12:16:00,1
2019-03-05 12:20:00,1
2019-03-05 12:31:00,1
2019-03-05 12:32:00,1
2019-03-05 12:48:00,1
2019-03-05 12:55:00,1
2019-03-05 13:12:00,1
2019-03-05 13:48:00,1
2019-03-05 14:05:00,1
2019-03-05 14:06:00,1
2019-03-05 14:44:00,1
2019-03-05 15:18:00,1
2019-03-05 15:22:00,1
2019-03-05 15:24:00,1
2019-03-05 15:32:00,1
2019-03-05 15:34:00,1
2019-03-05 15:36:00,1
2019-03-05 15:38:00,1
2019-03-05 15:39:00,2
2019-03-05 15:52:00,1
2019-03-05 15:53:00,1
2019-03-05 16:23:00,1
2019-03-05 16:35:00,1
2019-03-05 16:47:00,1
2019-03-05 16:58:00,1
2019-03-05 17:15:00,1
2019-03-05 17:19:00,1
2019-03-05 17:25:00,1
2019-03-05 17:32:00,1
2019-03-05 17:47:00,1
2019-03-05 18:00:00,1
2019-03-05 18:11:00,1
2019-03-05 18:17:00,1
2019-03-05 20:33:00,1
2019-03-05 20:53:00,1
2019-03-05 21:24:00,1
2019-03-05 21:54:00,1
2019-03-05 21:56:00,1
2019-03-05 21:58:00,1
2019-03-05 22:09:00,1
2019-03-05 22:39:00,7
2019-03-05 22:45:00,1
2019-03-05 22:58:00,1
2019-03-05 23:01:00,1
2019-03-05 23:25:00,1
2019-03-05 23:30:00,1
2019-03-05 23:48:00,1
