29,"SELECT count(*) as &&&,     sum( case when (Type=#) then # else # end) as &&&,     sum( case when (Type=#) then # else # end) as &&&,     sum( case when (Type not in (#,#)) then # else # end) as &&&      FROM PhotoPrimary -- for each object WHERE (l between # and #) and (b between # and #)"
2019-03-06 13:28:00,1
2019-03-06 13:32:00,1
2019-03-06 13:33:00,2
2019-03-06 13:34:00,1
2019-03-06 13:35:00,1
2019-03-06 13:40:00,1
2019-03-06 13:46:00,2
2019-03-06 16:45:00,1
2019-03-06 16:46:00,2
2019-03-06 16:49:00,4
2019-03-06 16:53:00,1
2019-03-06 16:54:00,1
2019-03-06 16:55:00,1
2019-03-06 16:57:00,1
2019-03-06 17:04:00,1
2019-03-06 17:07:00,2
2019-03-06 17:08:00,1
2019-03-06 17:09:00,1
2019-03-06 17:10:00,1
2019-03-06 17:11:00,3
