323,select objid from photoobj where photoobj.dec between -.# and -.# and photoobj.ra between # and #
2019-03-07 04:31:00,5
2019-03-07 04:47:00,4
2019-03-07 06:08:00,5
2019-03-07 06:09:00,4
2019-03-07 07:06:00,2
2019-03-07 07:07:00,4
2019-03-07 07:08:00,6
2019-03-07 07:09:00,8
2019-03-07 07:10:00,8
2019-03-07 07:11:00,6
2019-03-07 07:12:00,12
2019-03-07 07:13:00,5
2019-03-07 07:14:00,8
2019-03-07 07:15:00,8
2019-03-07 07:16:00,4
2019-03-07 07:17:00,7
2019-03-07 07:18:00,6
2019-03-07 07:21:00,8
2019-03-07 07:22:00,12
2019-03-07 07:23:00,6
2019-03-07 10:18:00,6
2019-03-07 10:19:00,7
2019-03-07 10:20:00,2
2019-03-07 10:21:00,4
2019-03-07 10:22:00,1
2019-03-07 10:23:00,3
2019-03-07 10:24:00,7
2019-03-07 10:25:00,1
2019-03-07 10:36:00,1
2019-03-07 10:48:00,6
2019-03-07 10:49:00,4
2019-03-07 10:50:00,4
2019-03-07 10:51:00,8
2019-03-07 10:52:00,4
2019-03-07 10:53:00,7
2019-03-07 10:54:00,7
2019-03-07 10:55:00,6
2019-03-07 10:56:00,8
2019-03-07 10:57:00,5
2019-03-07 10:58:00,5
2019-03-07 10:59:00,1
2019-03-07 11:00:00,4
2019-03-07 11:01:00,9
2019-03-07 11:02:00,9
2019-03-07 11:03:00,8
2019-03-07 11:04:00,16
2019-03-07 11:05:00,6
2019-03-07 11:06:00,6
2019-03-07 11:08:00,5
2019-03-07 12:40:00,4
2019-03-07 13:28:00,1
2019-03-07 13:29:00,8
2019-03-07 13:30:00,8
2019-03-07 13:31:00,7
2019-03-07 13:32:00,2
2019-03-07 13:41:00,5
