183,"SELECT TOP #  p.run, p.rerun, p.camcol, p.field  FROM PhotoObjDR7 AS p  WHERE p.dr7objid=#"
2019-03-08 00:30:00,1
2019-03-08 00:42:00,1
2019-03-08 00:57:00,1
2019-03-08 00:59:00,1
2019-03-08 01:01:00,1
2019-03-08 01:13:00,1
2019-03-08 01:19:00,1
2019-03-08 01:27:00,1
2019-03-08 01:30:00,1
2019-03-08 01:54:00,1
2019-03-08 01:57:00,1
2019-03-08 02:05:00,1
2019-03-08 02:12:00,1
2019-03-08 02:15:00,1
2019-03-08 02:21:00,1
2019-03-08 02:35:00,1
2019-03-08 02:43:00,1
2019-03-08 02:45:00,1
2019-03-08 02:48:00,1
2019-03-08 02:52:00,1
2019-03-08 02:54:00,1
2019-03-08 02:55:00,1
2019-03-08 02:57:00,1
2019-03-08 02:58:00,1
2019-03-08 02:59:00,1
2019-03-08 03:02:00,1
2019-03-08 03:04:00,1
2019-03-08 03:13:00,1
2019-03-08 03:15:00,1
2019-03-08 03:16:00,1
2019-03-08 03:17:00,1
2019-03-08 03:18:00,1
2019-03-08 03:20:00,1
2019-03-08 03:24:00,1
2019-03-08 03:26:00,1
2019-03-08 03:28:00,1
2019-03-08 03:29:00,1
2019-03-08 03:31:00,1
2019-03-08 03:34:00,1
2019-03-08 03:36:00,1
2019-03-08 03:37:00,1
2019-03-08 03:38:00,1
2019-03-08 03:39:00,1
2019-03-08 03:42:00,3
2019-03-08 03:44:00,2
2019-03-08 03:47:00,1
2019-03-08 03:48:00,1
2019-03-08 03:49:00,1
2019-03-08 03:51:00,1
2019-03-08 03:53:00,1
2019-03-08 03:54:00,1
2019-03-08 03:55:00,1
2019-03-08 03:56:00,1
2019-03-08 03:57:00,1
2019-03-08 03:58:00,1
2019-03-08 04:00:00,1
2019-03-08 04:01:00,1
2019-03-08 04:03:00,1
2019-03-08 04:05:00,1
2019-03-08 04:06:00,1
2019-03-08 04:36:00,1
2019-03-08 06:46:00,1
2019-03-08 07:22:00,1
2019-03-08 09:48:00,1
2019-03-08 11:40:00,1
2019-03-08 11:48:00,1
2019-03-08 11:49:00,1
2019-03-08 11:58:00,1
2019-03-08 12:08:00,1
2019-03-08 12:17:00,1
2019-03-08 12:27:00,1
2019-03-08 12:36:00,1
2019-03-08 12:46:00,1
2019-03-08 12:55:00,1
2019-03-08 12:58:00,1
2019-03-08 13:05:00,1
2019-03-08 13:23:00,1
2019-03-08 13:33:00,1
2019-03-08 13:42:00,1
2019-03-08 13:52:00,1
2019-03-08 14:01:00,1
2019-03-08 14:11:00,1
2019-03-08 14:26:00,1
2019-03-08 14:49:00,1
2019-03-08 14:58:00,1
2019-03-08 15:07:00,1
2019-03-08 15:15:00,1
2019-03-08 15:16:00,1
2019-03-08 15:17:00,1
2019-03-08 15:19:00,2
2019-03-08 15:20:00,1
2019-03-08 15:21:00,2
2019-03-08 15:22:00,1
2019-03-08 15:23:00,1
2019-03-08 15:24:00,1
2019-03-08 15:26:00,1
2019-03-08 15:27:00,2
2019-03-08 15:29:00,1
2019-03-08 15:30:00,2
2019-03-08 15:31:00,1
2019-03-08 15:32:00,1
2019-03-08 15:33:00,2
2019-03-08 15:34:00,1
2019-03-08 15:35:00,1
2019-03-08 15:36:00,3
2019-03-08 15:37:00,2
2019-03-08 15:38:00,2
2019-03-08 15:39:00,3
2019-03-08 15:40:00,2
2019-03-08 15:41:00,1
2019-03-08 15:42:00,2
2019-03-08 15:43:00,2
2019-03-08 15:44:00,1
2019-03-08 15:45:00,2
2019-03-08 15:46:00,2
2019-03-08 15:47:00,1
2019-03-08 15:48:00,1
2019-03-08 15:55:00,1
2019-03-08 16:07:00,1
2019-03-08 16:08:00,2
2019-03-08 16:09:00,1
2019-03-08 16:14:00,1
2019-03-08 16:23:00,1
2019-03-08 16:25:00,1
2019-03-08 16:33:00,1
2019-03-08 16:42:00,1
2019-03-08 16:52:00,1
2019-03-08 17:11:00,1
2019-03-08 17:20:00,1
2019-03-08 19:18:00,1
2019-03-08 20:03:00,1
2019-03-08 20:20:00,1
2019-03-08 20:30:00,1
2019-03-08 20:48:00,1
2019-03-08 20:58:00,1
2019-03-08 21:07:00,1
2019-03-08 21:11:00,1
2019-03-08 21:16:00,2
2019-03-08 21:19:00,1
2019-03-08 21:23:00,1
2019-03-08 21:27:00,1
2019-03-08 21:36:00,1
2019-03-08 21:43:00,1
2019-03-08 21:45:00,1
2019-03-08 21:55:00,2
2019-03-08 22:04:00,1
2019-03-08 22:14:00,1
2019-03-08 22:20:00,1
2019-03-08 22:23:00,1
2019-03-08 22:33:00,1
2019-03-08 22:42:00,1
2019-03-08 22:52:00,1
2019-03-08 23:01:00,1
2019-03-08 23:10:00,1
2019-03-08 23:20:00,1
2019-03-08 23:24:00,1
2019-03-08 23:29:00,1
2019-03-08 23:39:00,1
2019-03-08 23:45:00,1
2019-03-08 23:48:00,1
2019-03-08 23:58:00,1
