14,"select top # p.objid, p.ra, p.dec, p.g, s.z as redshift from galaxy p, specobj s, dbo.fgetNearByObjEq(#,#,#) n where p.objid=s.bestobjid and p.objid=n.objid and s.bestobjid=n.objid and (p.g BETWEEN # AND #)  and s.z BETWEEN .# AND .# order by p.g"
2019-03-12 02:55:00,1
2019-03-12 02:56:00,2
2019-03-12 02:57:00,1
2019-03-12 02:58:00,1
2019-03-12 02:59:00,1
2019-03-12 03:00:00,1
2019-03-12 03:03:00,1
2019-03-12 03:06:00,1
2019-03-12 03:10:00,1
2019-03-12 03:12:00,1
2019-03-12 03:14:00,1
2019-03-12 03:15:00,1
2019-03-12 03:16:00,1
