203,"SELECT p.ra,p.dec,p.raErr,p.decErr,p.objId,p.run,p.rerun,p.camcol,p.field,dbo.fPhotoModeN(mode) as mode,nChild,dbo.fPhotoTypeN(p.type) as type,clean,flags,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,mjd,distance FROM PhotoObj as p JOIN dbo.fGetNearbyObjEq(#,#,#) AS R ON P.objID=R.objID ORDER BY distance"
2019-03-13 00:02:00,1
2019-03-13 00:04:00,1
2019-03-13 00:08:00,1
2019-03-13 00:18:00,1
2019-03-13 00:20:00,1
2019-03-13 00:25:00,1
2019-03-13 00:30:00,1
2019-03-13 00:36:00,1
2019-03-13 01:01:00,1
2019-03-13 01:02:00,1
2019-03-13 01:09:00,1
2019-03-13 01:10:00,1
2019-03-13 01:12:00,1
2019-03-13 01:14:00,1
2019-03-13 01:16:00,1
2019-03-13 01:24:00,1
2019-03-13 01:32:00,1
2019-03-13 01:39:00,1
2019-03-13 01:49:00,1
2019-03-13 02:04:00,1
2019-03-13 02:07:00,1
2019-03-13 02:13:00,1
2019-03-13 02:38:00,1
2019-03-13 02:40:00,1
2019-03-13 02:41:00,1
2019-03-13 02:42:00,2
2019-03-13 02:47:00,2
2019-03-13 02:58:00,2
2019-03-13 03:05:00,1
2019-03-13 03:43:00,1
2019-03-13 03:50:00,1
2019-03-13 04:06:00,1
2019-03-13 04:45:00,1
2019-03-13 05:25:00,1
2019-03-13 05:35:00,1
2019-03-13 05:57:00,1
2019-03-13 06:01:00,1
2019-03-13 06:36:00,1
2019-03-13 06:38:00,1
2019-03-13 06:58:00,1
2019-03-13 07:04:00,1
2019-03-13 07:13:00,1
2019-03-13 07:28:00,1
2019-03-13 07:37:00,1
2019-03-13 09:03:00,1
2019-03-13 09:10:00,1
2019-03-13 09:11:00,1
2019-03-13 09:28:00,1
2019-03-13 09:36:00,1
2019-03-13 09:37:00,1
2019-03-13 09:44:00,1
2019-03-13 09:49:00,1
2019-03-13 09:56:00,1
2019-03-13 10:14:00,1
2019-03-13 10:21:00,1
2019-03-13 10:22:00,1
2019-03-13 10:26:00,1
2019-03-13 10:35:00,1
