4383,"select s.z, p.petroRad_z   from photoObj p   JOIN specObj s ON s.bestObjID = p.objID   where s.bestObjID = #"
2019-03-13 17:12:00,8
2019-03-13 17:13:00,48
2019-03-13 17:14:00,42
2019-03-13 17:17:00,50
2019-03-13 17:18:00,46
2019-03-13 17:20:00,67
2019-03-13 17:21:00,58
2019-03-13 17:22:00,48
2019-03-13 17:23:00,50
2019-03-13 17:24:00,52
2019-03-13 17:25:00,49
2019-03-13 17:26:00,47
2019-03-13 17:27:00,48
2019-03-13 17:28:00,48
2019-03-13 17:29:00,50
2019-03-13 17:30:00,50
2019-03-13 17:31:00,50
2019-03-13 17:32:00,49
2019-03-13 17:33:00,22
2019-03-13 17:34:00,22
2019-03-13 17:35:00,35
2019-03-13 17:36:00,43
2019-03-13 17:37:00,46
2019-03-13 17:38:00,46
2019-03-13 17:39:00,49
2019-03-13 17:40:00,50
2019-03-13 17:41:00,47
2019-03-13 17:42:00,47
2019-03-13 17:43:00,43
2019-03-13 17:44:00,40
2019-03-13 17:56:00,11
2019-03-13 17:57:00,26
2019-03-13 17:58:00,36
2019-03-13 17:59:00,32
2019-03-13 18:00:00,38
2019-03-13 18:01:00,41
2019-03-13 18:02:00,49
2019-03-13 18:03:00,45
2019-03-13 18:04:00,49
2019-03-13 18:05:00,50
2019-03-13 18:06:00,52
2019-03-13 18:07:00,48
2019-03-13 18:08:00,50
2019-03-13 18:09:00,46
2019-03-13 18:10:00,44
2019-03-13 18:11:00,43
2019-03-13 18:12:00,44
2019-03-13 18:13:00,47
2019-03-13 18:14:00,47
2019-03-13 18:15:00,47
2019-03-13 18:16:00,46
2019-03-13 18:17:00,25
2019-03-13 18:19:00,11
2019-03-13 18:20:00,22
2019-03-13 18:21:00,32
2019-03-13 18:22:00,50
2019-03-13 18:23:00,50
2019-03-13 18:24:00,48
2019-03-13 18:25:00,51
2019-03-13 18:26:00,52
2019-03-13 18:27:00,50
2019-03-13 18:28:00,50
2019-03-13 18:29:00,46
2019-03-13 18:30:00,25
2019-03-13 18:41:00,5
2019-03-13 18:42:00,25
2019-03-13 18:43:00,38
2019-03-13 18:44:00,33
2019-03-13 18:45:00,39
2019-03-13 18:46:00,42
2019-03-13 18:47:00,51
2019-03-13 18:48:00,48
2019-03-13 18:49:00,50
2019-03-13 18:50:00,53
2019-03-13 18:51:00,50
2019-03-13 18:52:00,50
2019-03-13 18:53:00,53
2019-03-13 18:54:00,44
2019-03-13 18:55:00,45
2019-03-13 18:56:00,44
2019-03-13 18:57:00,47
2019-03-13 18:58:00,51
2019-03-13 18:59:00,51
2019-03-13 19:00:00,45
2019-03-13 19:01:00,46
2019-03-13 19:02:00,42
2019-03-13 19:03:00,8
2019-03-13 19:05:00,25
2019-03-13 19:06:00,53
2019-03-13 19:07:00,52
2019-03-13 19:08:00,53
2019-03-13 19:09:00,56
2019-03-13 19:10:00,18
2019-03-13 19:11:00,36
2019-03-13 19:12:00,55
2019-03-13 19:13:00,52
2019-03-13 19:14:00,56
2019-03-13 19:15:00,52
2019-03-13 19:16:00,54
2019-03-13 19:17:00,53
2019-03-13 19:18:00,55
