59,"SELECT p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, psfFlux_u, psfFlux_g, psfFlux_r, psfFlux_i, psfFlux_z FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-03-13 10:44:00,2
2019-03-13 10:45:00,3
2019-03-13 10:46:00,3
2019-03-13 10:47:00,2
2019-03-13 10:49:00,2
2019-03-13 10:50:00,2
2019-03-13 10:52:00,2
2019-03-13 12:28:00,2
2019-03-13 12:34:00,1
2019-03-13 12:35:00,2
2019-03-13 12:36:00,2
2019-03-13 12:37:00,1
2019-03-13 12:38:00,2
2019-03-13 12:39:00,1
2019-03-13 12:40:00,1
2019-03-13 12:41:00,1
2019-03-13 12:42:00,4
2019-03-13 12:43:00,1
2019-03-13 12:47:00,2
2019-03-13 12:48:00,2
2019-03-13 12:51:00,2
2019-03-13 12:53:00,1
2019-03-13 12:54:00,1
2019-03-13 12:55:00,1
2019-03-13 13:01:00,1
2019-03-13 13:02:00,1
2019-03-13 13:03:00,2
2019-03-13 13:04:00,1
2019-03-13 13:06:00,1
2019-03-13 13:19:00,3
2019-03-13 13:22:00,1
2019-03-13 13:23:00,1
2019-03-13 13:24:00,1
2019-03-13 13:25:00,2
2019-03-13 13:26:00,2
