16,"select p.ra, p.dec, p.r, p.Err_r from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_r <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-03-14 05:46:00,1
2019-03-14 05:54:00,1
2019-03-14 08:51:00,1
2019-03-14 09:07:00,1
2019-03-14 09:24:00,1
2019-03-14 09:57:00,1
2019-03-14 10:31:00,1
2019-03-14 10:47:00,1
2019-03-14 11:04:00,1
2019-03-14 11:20:00,1
2019-03-14 15:40:00,1
2019-03-14 15:42:00,1
2019-03-14 16:52:00,1
2019-03-14 19:04:00,3
