13,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND #"
2019-03-14 01:24:00,1
2019-03-14 09:10:00,1
2019-03-14 10:51:00,1
2019-03-14 14:01:00,1
2019-03-14 14:33:00,1
2019-03-14 14:58:00,1
2019-03-14 15:47:00,1
2019-03-14 16:23:00,1
2019-03-14 22:17:00,1
2019-03-14 23:08:00,1
2019-03-14 23:10:00,2
2019-03-14 23:25:00,1
