1327,select objid from photoprimary where photoprimary.dec between # and # and photoprimary.ra between .# and .#
2019-03-14 00:39:00,1
2019-03-14 00:40:00,1
2019-03-14 00:43:00,3
2019-03-14 00:44:00,18
2019-03-14 02:53:00,21
2019-03-14 02:54:00,37
2019-03-14 02:55:00,43
2019-03-14 02:56:00,28
2019-03-14 02:57:00,3
2019-03-14 02:59:00,3
2019-03-14 03:01:00,1
2019-03-14 03:02:00,8
2019-03-14 03:03:00,1
2019-03-14 03:04:00,1
2019-03-14 03:08:00,2
2019-03-14 03:09:00,1
2019-03-14 03:13:00,21
2019-03-14 03:14:00,52
2019-03-14 03:30:00,21
2019-03-14 03:31:00,1
2019-03-14 05:41:00,1
2019-03-14 07:05:00,3
2019-03-14 07:07:00,3
2019-03-14 08:29:00,1
2019-03-14 08:43:00,1
2019-03-14 09:32:00,11
2019-03-14 09:33:00,20
2019-03-14 09:34:00,48
2019-03-14 09:35:00,87
2019-03-14 09:36:00,67
2019-03-14 09:38:00,12
2019-03-14 09:39:00,2
2019-03-14 09:40:00,14
2019-03-14 09:41:00,23
2019-03-14 09:42:00,46
2019-03-14 09:43:00,60
2019-03-14 09:44:00,7
2019-03-14 09:45:00,44
2019-03-14 09:47:00,42
2019-03-14 09:48:00,32
2019-03-14 09:49:00,24
2019-03-14 09:50:00,11
2019-03-14 09:52:00,34
2019-03-14 09:53:00,36
2019-03-14 09:58:00,13
2019-03-14 10:26:00,4
2019-03-14 10:27:00,7
2019-03-14 10:28:00,9
2019-03-14 10:29:00,1
2019-03-14 10:32:00,101
2019-03-14 10:33:00,8
2019-03-14 10:35:00,2
2019-03-14 10:36:00,3
2019-03-14 10:37:00,13
2019-03-14 10:38:00,2
2019-03-14 10:39:00,1
2019-03-14 10:44:00,2
2019-03-14 10:49:00,18
2019-03-14 10:56:00,13
2019-03-14 10:57:00,12
2019-03-14 10:58:00,4
2019-03-14 10:59:00,45
2019-03-14 11:00:00,35
2019-03-14 11:01:00,13
2019-03-14 12:51:00,38
2019-03-14 13:39:00,1
2019-03-14 13:42:00,74
2019-03-14 13:46:00,9
2019-03-14 13:52:00,3
