236,select objid from photoprimary where photoprimary.dec between # and -.# and photoprimary.ra between .# and #
2019-03-14 00:00:00,5
2019-03-14 00:01:00,8
2019-03-14 00:02:00,6
2019-03-14 00:03:00,8
2019-03-14 00:04:00,7
2019-03-14 00:05:00,7
2019-03-14 00:06:00,7
2019-03-14 00:07:00,9
2019-03-14 00:08:00,8
2019-03-14 00:09:00,6
2019-03-14 00:10:00,8
2019-03-14 00:11:00,7
2019-03-14 00:12:00,7
2019-03-14 00:13:00,9
2019-03-14 00:14:00,9
2019-03-14 00:15:00,8
2019-03-14 00:16:00,6
2019-03-14 00:17:00,9
2019-03-14 00:18:00,7
2019-03-14 00:19:00,6
2019-03-14 00:20:00,5
2019-03-14 00:21:00,8
2019-03-14 00:22:00,8
2019-03-14 00:23:00,7
2019-03-14 00:24:00,7
2019-03-14 00:25:00,6
2019-03-14 00:26:00,7
2019-03-14 00:27:00,9
2019-03-14 00:28:00,7
2019-03-14 00:29:00,8
2019-03-14 00:30:00,6
2019-03-14 00:31:00,7
2019-03-14 00:32:00,4
