83,select * from PhotozRF where objid=#
2019-03-18 00:41:00,1
2019-03-18 01:02:00,1
2019-03-18 01:38:00,1
2019-03-18 01:45:00,1
2019-03-18 01:49:00,1
2019-03-18 02:19:00,1
2019-03-18 02:33:00,1
2019-03-18 03:25:00,1
2019-03-18 03:47:00,1
2019-03-18 03:49:00,1
2019-03-18 03:58:00,1
2019-03-18 04:02:00,1
2019-03-18 04:24:00,1
2019-03-18 05:39:00,1
2019-03-18 05:40:00,1
2019-03-18 05:41:00,1
2019-03-18 05:42:00,1
2019-03-18 05:51:00,1
2019-03-18 06:07:00,1
2019-03-18 06:09:00,1
2019-03-18 06:10:00,1
2019-03-18 06:23:00,1
2019-03-18 06:58:00,1
2019-03-18 07:01:00,1
2019-03-18 07:03:00,1
2019-03-18 07:28:00,1
2019-03-18 08:02:00,1
2019-03-18 08:03:00,1
2019-03-18 08:30:00,1
2019-03-18 08:43:00,1
2019-03-18 09:33:00,1
2019-03-18 10:00:00,1
2019-03-18 10:41:00,1
2019-03-18 10:46:00,1
2019-03-18 11:06:00,1
2019-03-18 11:09:00,1
2019-03-18 11:12:00,2
2019-03-18 11:34:00,1
2019-03-18 11:40:00,1
2019-03-18 11:58:00,1
2019-03-18 12:09:00,1
2019-03-18 12:17:00,1
2019-03-18 12:51:00,1
2019-03-18 12:53:00,2
2019-03-18 13:02:00,1
2019-03-18 13:10:00,1
2019-03-18 13:35:00,1
2019-03-18 13:39:00,1
2019-03-18 13:49:00,1
2019-03-18 13:54:00,1
2019-03-18 14:57:00,1
2019-03-18 15:06:00,1
2019-03-18 15:46:00,1
2019-03-18 15:54:00,1
2019-03-18 16:00:00,1
2019-03-18 16:03:00,1
2019-03-18 16:22:00,1
2019-03-18 16:28:00,1
2019-03-18 17:00:00,1
2019-03-18 17:26:00,1
2019-03-18 17:53:00,1
2019-03-18 17:56:00,1
2019-03-18 18:05:00,1
2019-03-18 18:06:00,1
2019-03-18 18:12:00,1
2019-03-18 19:11:00,1
2019-03-18 19:44:00,1
2019-03-18 19:54:00,1
2019-03-18 20:37:00,1
2019-03-18 20:59:00,1
2019-03-18 21:17:00,1
2019-03-18 21:38:00,1
2019-03-18 22:04:00,1
2019-03-18 22:41:00,1
2019-03-18 22:42:00,1
2019-03-18 22:48:00,1
2019-03-18 22:50:00,1
2019-03-18 22:51:00,1
2019-03-18 22:58:00,1
2019-03-18 23:25:00,1
2019-03-18 23:31:00,1
