94,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-03-26 03:56:00,1
2019-03-26 03:57:00,1
2019-03-26 13:17:00,1
2019-03-26 13:27:00,1
2019-03-26 13:30:00,2
2019-03-26 13:32:00,1
2019-03-26 13:33:00,1
2019-03-26 13:35:00,1
2019-03-26 13:36:00,1
2019-03-26 13:37:00,1
2019-03-26 13:38:00,3
2019-03-26 13:41:00,1
2019-03-26 13:42:00,1
2019-03-26 13:44:00,3
2019-03-26 13:45:00,1
2019-03-26 13:53:00,7
2019-03-26 13:54:00,2
2019-03-26 14:59:00,1
2019-03-26 15:00:00,2
2019-03-26 15:01:00,1
2019-03-26 15:02:00,1
2019-03-26 15:03:00,1
2019-03-26 15:04:00,3
2019-03-26 15:06:00,2
2019-03-26 15:07:00,1
2019-03-26 15:08:00,2
2019-03-26 15:09:00,5
2019-03-26 15:11:00,4
2019-03-26 15:12:00,4
2019-03-26 15:13:00,1
2019-03-26 15:14:00,5
2019-03-26 15:15:00,5
2019-03-26 15:16:00,1
2019-03-26 15:17:00,1
2019-03-26 15:19:00,3
2019-03-26 15:21:00,1
2019-03-26 15:22:00,3
2019-03-26 15:23:00,1
2019-03-26 15:24:00,1
2019-03-26 15:27:00,2
2019-03-26 15:28:00,3
2019-03-26 15:29:00,1
2019-03-26 15:30:00,6
2019-03-26 19:37:00,2
2019-03-26 20:39:00,1
2019-03-26 20:40:00,1
