68,select * from A1#_DR1#_within6#_spec
2019-03-29 02:59:00,1
2019-03-29 03:01:00,4
2019-03-29 03:02:00,1
2019-03-29 03:10:00,2
2019-03-29 03:11:00,4
2019-03-29 03:28:00,1
2019-03-29 03:29:00,3
2019-03-29 03:30:00,3
2019-03-29 03:31:00,4
2019-03-29 03:32:00,1
2019-03-29 03:35:00,1
2019-03-29 03:36:00,3
2019-03-29 09:42:00,3
2019-03-29 09:43:00,4
2019-03-29 09:44:00,4
2019-03-29 09:45:00,4
2019-03-29 09:46:00,4
2019-03-29 09:47:00,4
2019-03-29 09:48:00,4
2019-03-29 09:49:00,4
2019-03-29 09:50:00,2
2019-03-29 09:51:00,2
2019-03-29 09:52:00,4
2019-03-29 09:53:00,1
