86,"select [enum], [name], [type], [length], [unit], [ucd], [description] from dbo.fDocColumns(&&&) ORDER BY [columnID]"
2019-03-30 00:47:00,1
2019-03-30 00:50:00,1
2019-03-30 01:11:00,1
2019-03-30 04:46:00,1
2019-03-30 04:47:00,1
2019-03-30 04:48:00,1
2019-03-30 04:51:00,1
2019-03-30 05:45:00,2
2019-03-30 05:48:00,1
2019-03-30 06:00:00,1
2019-03-30 09:26:00,3
2019-03-30 09:31:00,1
2019-03-30 09:36:00,1
2019-03-30 09:44:00,1
2019-03-30 09:45:00,1
2019-03-30 09:46:00,1
2019-03-30 09:57:00,1
2019-03-30 09:58:00,1
2019-03-30 12:05:00,1
2019-03-30 12:06:00,1
2019-03-30 12:10:00,1
2019-03-30 12:49:00,1
2019-03-30 12:50:00,1
2019-03-30 12:52:00,2
2019-03-30 12:53:00,2
2019-03-30 12:57:00,1
2019-03-30 12:59:00,2
2019-03-30 13:01:00,1
2019-03-30 13:12:00,1
2019-03-30 13:33:00,1
2019-03-30 13:39:00,1
2019-03-30 13:40:00,1
2019-03-30 14:18:00,1
2019-03-30 14:39:00,1
2019-03-30 15:46:00,1
2019-03-30 16:29:00,1
2019-03-30 16:30:00,1
2019-03-30 18:02:00,1
2019-03-30 18:03:00,1
2019-03-30 18:07:00,3
2019-03-30 18:10:00,2
2019-03-30 18:11:00,1
2019-03-30 18:12:00,1
2019-03-30 18:36:00,1
2019-03-30 18:43:00,5
2019-03-30 18:58:00,2
2019-03-30 19:35:00,1
2019-03-30 19:54:00,1
2019-03-30 20:48:00,2
2019-03-30 21:03:00,1
2019-03-30 21:45:00,4
2019-03-30 21:50:00,2
2019-03-30 21:51:00,1
2019-03-30 22:06:00,1
2019-03-30 22:11:00,1
2019-03-30 22:20:00,1
2019-03-30 22:21:00,2
2019-03-30 22:34:00,1
2019-03-30 22:35:00,1
2019-03-30 22:36:00,1
2019-03-30 22:42:00,2
2019-03-30 22:43:00,1
2019-03-30 22:44:00,1
2019-03-30 23:13:00,1
2019-03-30 23:14:00,1
