49,"SELECT top # u,g,r,i,z,Err_u,Err_g,Err_r,Err_i, Err_z, ra,dec,flags_r from star where ra between # and # and dec between # and # and r > # and r < # and ((flags_r & #)!=#) and ((flags_r & #) = #) and (((flags_r & #) = #) or (psfmagerr_r <= #)) AND (((flags_r & #) = #) or (flags_r & #) = #)"
2019-04-03 14:24:00,1
2019-04-03 14:25:00,3
2019-04-03 14:28:00,3
2019-04-03 14:29:00,1
2019-04-03 14:46:00,4
2019-04-03 15:36:00,3
2019-04-03 15:37:00,3
2019-04-03 15:38:00,2
2019-04-03 15:41:00,2
2019-04-03 15:42:00,3
2019-04-03 15:43:00,3
2019-04-03 15:47:00,4
2019-04-03 15:52:00,4
2019-04-03 16:08:00,4
2019-04-03 16:09:00,4
2019-04-03 16:11:00,1
2019-04-03 16:17:00,3
2019-04-03 16:18:00,1
