66,"SELECT TOP # dbo.fIAUFromEq(p.ra,p.dec),p.ra,p.dec,p.modelmag_g,p.modelmag_r,p.modelmag_i FROM Galaxy as p WHERE p.modelmag_r<# and p.ra<# and p.ra># and p.dec># and p.dec<# order by p.modelmag_r"
2019-04-04 16:14:00,1
2019-04-04 16:15:00,2
2019-04-04 16:16:00,2
2019-04-04 16:17:00,7
2019-04-04 16:23:00,2
2019-04-04 16:24:00,5
2019-04-04 16:25:00,4
2019-04-04 16:26:00,6
2019-04-04 16:27:00,3
2019-04-04 16:28:00,2
2019-04-04 19:42:00,1
2019-04-04 19:43:00,6
2019-04-04 19:44:00,11
2019-04-04 19:45:00,9
2019-04-04 19:46:00,5
