36,"SELECT TOP # oiii_#_reqw as oir, h_beta_reqw as hbr, nii_#_reqw as nir, h_alpha_reqw as har, specObjID   FROM galSpecLine as p"
2019-04-04 15:24:00,4
2019-04-04 15:25:00,4
2019-04-04 15:26:00,3
2019-04-04 15:27:00,1
2019-04-04 15:28:00,1
2019-04-04 15:30:00,1
2019-04-04 15:41:00,1
2019-04-04 15:42:00,1
2019-04-04 15:44:00,1
2019-04-04 15:46:00,1
2019-04-04 15:47:00,1
2019-04-04 15:48:00,1
2019-04-04 15:49:00,4
2019-04-04 15:50:00,3
2019-04-04 15:53:00,1
2019-04-04 15:54:00,2
2019-04-04 15:58:00,1
2019-04-04 16:01:00,1
2019-04-04 16:28:00,1
2019-04-04 16:38:00,1
2019-04-04 16:57:00,1
2019-04-04 16:58:00,1
