389,"SELECT G.objID as sdss_ID, G.ra as RA, G.dec as DEC, P.z as redshift, p.zErr as redshift_err, G.modelMag_u as MODEL_MAG_U, G.modelMag_g as MODEL_MAG_G, G.modelMag_r as MODEL_MAG_R, G.modelMag_i as MODEL_MAG_I, G.modelMag_z as MODEL_MAG_Z, G.modelMagErr_u as MODEL_MAG_U_err, G.modelMagErr_g as MODEL_MAG_G_err, G.modelMagErr_r as MODEL_MAG_R_err, G.modelMagErr_i as MODEL_MAG_I_err, G.modelMagErr_z as MODEL_MAG_Z_err, P.absMagU, P.absMagG, P.absMagR, P.absMagI, P.absMagZ FROM Galaxy as G JOIN dbo.fGetNearbyObjEq(#,#,#) AS GN ON G.objID = GN.objID JOIN Photoz as P ON P.objID = G.objID"
2019-04-11 00:02:00,2
2019-04-11 00:03:00,2
2019-04-11 00:04:00,10
2019-04-11 00:08:00,48
2019-04-11 00:09:00,2
2019-04-11 00:10:00,31
2019-04-11 00:11:00,49
2019-04-11 00:12:00,45
2019-04-11 00:14:00,26
2019-04-11 00:15:00,50
2019-04-11 00:16:00,47
2019-04-11 00:17:00,50
2019-04-11 00:18:00,27
