162,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE"
2019-04-18 01:20:00,1
2019-04-18 01:39:00,1
2019-04-18 01:42:00,1
2019-04-18 01:48:00,1
2019-04-18 01:51:00,1
2019-04-18 01:54:00,1
2019-04-18 02:00:00,1
2019-04-18 02:03:00,1
2019-04-18 02:12:00,2
2019-04-18 02:17:00,1
2019-04-18 02:30:00,1
2019-04-18 02:31:00,1
2019-04-18 02:37:00,1
2019-04-18 02:43:00,1
2019-04-18 02:46:00,1
2019-04-18 02:50:00,1
2019-04-18 02:59:00,1
2019-04-18 03:02:00,1
2019-04-18 03:06:00,1
2019-04-18 03:10:00,1
2019-04-18 03:17:00,1
2019-04-18 03:20:00,2
2019-04-18 03:26:00,1
2019-04-18 03:30:00,2
2019-04-18 03:34:00,1
2019-04-18 03:39:00,1
2019-04-18 03:42:00,1
2019-04-18 03:47:00,1
2019-04-18 03:52:00,1
2019-04-18 03:56:00,1
2019-04-18 04:00:00,1
2019-04-18 04:04:00,1
2019-04-18 04:08:00,1
2019-04-18 04:10:00,1
2019-04-18 04:11:00,1
2019-04-18 04:21:00,1
2019-04-18 04:25:00,1
2019-04-18 04:29:00,1
2019-04-18 07:38:00,1
2019-04-18 07:43:00,1
2019-04-18 07:47:00,1
2019-04-18 07:48:00,1
2019-04-18 07:50:00,1
2019-04-18 08:00:00,2
2019-04-18 08:03:00,1
2019-04-18 08:05:00,1
2019-04-18 08:15:00,1
2019-04-18 08:18:00,1
2019-04-18 08:22:00,1
2019-04-18 08:33:00,1
2019-04-18 08:35:00,1
2019-04-18 08:36:00,1
2019-04-18 08:47:00,1
2019-04-18 08:49:00,1
2019-04-18 08:50:00,1
2019-04-18 08:52:00,1
2019-04-18 08:53:00,1
2019-04-18 09:02:00,1
2019-04-18 09:08:00,1
2019-04-18 09:40:00,2
2019-04-18 09:44:00,1
2019-04-18 09:45:00,1
2019-04-18 10:00:00,1
2019-04-18 10:02:00,1
2019-04-18 10:15:00,1
2019-04-18 10:19:00,1
2019-04-18 10:24:00,1
2019-04-18 10:27:00,1
2019-04-18 10:32:00,1
2019-04-18 10:34:00,1
2019-04-18 10:40:00,1
2019-04-18 10:44:00,1
2019-04-18 10:49:00,1
2019-04-18 10:54:00,1
2019-04-18 10:58:00,2
2019-04-18 11:03:00,1
2019-04-18 11:04:00,1
2019-04-18 11:07:00,1
2019-04-18 11:08:00,1
2019-04-18 11:11:00,1
2019-04-18 11:12:00,1
2019-04-18 11:14:00,1
2019-04-18 11:16:00,2
2019-04-18 11:22:00,1
2019-04-18 11:25:00,1
2019-04-18 11:26:00,1
2019-04-18 11:29:00,1
2019-04-18 11:38:00,2
2019-04-18 11:43:00,1
2019-04-18 11:44:00,1
2019-04-18 11:47:00,2
2019-04-18 11:49:00,1
2019-04-18 12:05:00,1
2019-04-18 12:07:00,1
2019-04-18 12:09:00,1
2019-04-18 12:15:00,1
2019-04-18 12:17:00,1
2019-04-18 12:18:00,1
2019-04-18 12:23:00,1
2019-04-18 12:26:00,1
2019-04-18 12:30:00,1
2019-04-18 12:33:00,2
2019-04-18 12:35:00,1
2019-04-18 12:37:00,1
2019-04-18 12:41:00,1
2019-04-18 12:45:00,1
2019-04-18 12:47:00,1
2019-04-18 12:49:00,1
2019-04-18 12:54:00,1
2019-04-18 12:56:00,1
2019-04-18 12:58:00,1
2019-04-18 13:00:00,1
2019-04-18 13:01:00,1
2019-04-18 13:02:00,1
2019-04-18 13:11:00,1
2019-04-18 22:07:00,1
2019-04-18 22:08:00,1
2019-04-18 22:11:00,1
2019-04-18 22:13:00,1
2019-04-18 22:14:00,1
2019-04-18 22:18:00,1
2019-04-18 22:23:00,2
2019-04-18 22:28:00,2
2019-04-18 22:31:00,1
2019-04-18 22:32:00,1
2019-04-18 22:37:00,1
2019-04-18 22:39:00,1
2019-04-18 22:40:00,1
2019-04-18 22:41:00,1
2019-04-18 22:43:00,1
2019-04-18 22:44:00,1
2019-04-18 22:47:00,1
2019-04-18 22:48:00,1
2019-04-18 22:51:00,1
2019-04-18 22:55:00,1
2019-04-18 22:56:00,1
2019-04-18 23:00:00,1
2019-04-18 23:06:00,1
2019-04-18 23:08:00,1
2019-04-18 23:09:00,1
2019-04-18 23:15:00,1
2019-04-18 23:17:00,1
2019-04-18 23:23:00,1
2019-04-18 23:27:00,1
2019-04-18 23:38:00,2
2019-04-18 23:43:00,1
2019-04-18 23:44:00,1
2019-04-18 23:52:00,1
2019-04-18 23:53:00,1
