19,"SELECT DISTINCT p.objID, p.ra, p.dec, p.raErr, p.decErr, p.u, p.err_u, p.g, p.err_g, p.r, p.err_r, p.i, p.err_i, p.z, p.err_z, p.clean, p.mode FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-04-18 13:03:00,1
2019-04-18 13:04:00,1
2019-04-18 13:05:00,1
2019-04-18 14:25:00,2
2019-04-18 14:29:00,1
2019-04-18 14:32:00,1
2019-04-18 14:34:00,2
2019-04-18 14:37:00,2
2019-04-18 14:39:00,1
2019-04-18 14:46:00,1
2019-04-18 14:47:00,1
2019-04-18 14:52:00,1
2019-04-18 14:55:00,1
2019-04-18 14:56:00,1
2019-04-18 15:05:00,1
2019-04-18 15:07:00,1
