41,"select p.objid as name, p.ra, p.dec from galaxy p, specobj s where p.objid=s.bestobjid and (p.g BETWEEN # AND #) and s.z BETWEEN # AND #"
2019-04-19 18:23:00,1
2019-04-19 18:26:00,1
2019-04-19 18:29:00,1
2019-04-19 18:31:00,1
2019-04-19 18:34:00,1
2019-04-19 18:37:00,1
2019-04-19 18:39:00,1
2019-04-19 18:42:00,1
2019-04-19 18:44:00,1
2019-04-19 18:46:00,1
2019-04-19 18:48:00,1
2019-04-19 18:50:00,1
2019-04-19 18:52:00,1
2019-04-19 18:54:00,1
2019-04-19 18:56:00,1
2019-04-19 19:01:00,1
2019-04-19 19:04:00,1
2019-04-19 19:18:00,1
2019-04-19 19:20:00,1
2019-04-19 19:23:00,1
2019-04-19 19:28:00,1
2019-04-19 19:40:00,1
2019-04-19 19:47:00,1
2019-04-19 19:57:00,1
2019-04-19 21:08:00,1
2019-04-19 21:09:00,1
2019-04-19 21:19:00,1
2019-04-19 21:22:00,1
2019-04-19 21:27:00,1
2019-04-19 21:38:00,1
2019-04-19 21:52:00,1
2019-04-19 21:57:00,1
2019-04-19 22:13:00,1
2019-04-19 22:56:00,1
2019-04-19 23:09:00,1
2019-04-19 23:18:00,1
2019-04-19 23:24:00,1
2019-04-19 23:46:00,1
2019-04-19 23:51:00,1
2019-04-19 23:53:00,1
2019-04-19 23:59:00,1
