30,"select substring(Name,#,#) as FL into test from chinook.Artist"
2019-04-20 10:51:00,1
2019-04-20 10:54:00,1
2019-04-20 11:00:00,1
2019-04-20 11:02:00,1
2019-04-20 11:03:00,1
2019-04-20 11:14:00,3
2019-04-20 11:15:00,1
2019-04-20 11:16:00,1
2019-04-20 11:17:00,3
2019-04-20 11:18:00,3
2019-04-20 11:19:00,2
2019-04-20 11:22:00,2
2019-04-20 11:23:00,1
2019-04-20 11:24:00,1
2019-04-20 11:26:00,2
2019-04-20 11:33:00,2
2019-04-20 11:34:00,1
2019-04-20 11:41:00,1
2019-04-20 11:42:00,2
