1005,"SELECT p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, psfFlux_u, psfFlux_g, psfFlux_r, psfFlux_i, psfFlux_z, psfFluxIvar_u, psfFluxIvar_g, psfFluxIvar_r, psfFluxIvar_i, psfFluxIvar_z FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-04-24 11:16:00,1
2019-04-24 11:17:00,1
2019-04-24 11:18:00,1
2019-04-24 11:20:00,3
2019-04-24 11:23:00,3
2019-04-24 11:25:00,1
2019-04-24 11:27:00,2
2019-04-24 11:29:00,2
2019-04-24 11:31:00,3
2019-04-24 11:34:00,2
2019-04-24 11:36:00,3
2019-04-24 11:38:00,1
2019-04-24 11:39:00,1
2019-04-24 11:41:00,2
2019-04-24 11:43:00,2
2019-04-24 11:45:00,2
2019-04-24 11:51:00,1
2019-04-24 11:52:00,9
2019-04-24 12:02:00,8
2019-04-24 12:03:00,2
2019-04-24 12:10:00,10
2019-04-24 12:21:00,6
2019-04-24 12:22:00,4
2019-04-24 12:32:00,10
2019-04-24 12:39:00,2
2019-04-24 12:40:00,8
2019-04-24 12:48:00,8
2019-04-24 12:49:00,2
2019-04-24 12:55:00,7
2019-04-24 12:56:00,1
2019-04-24 13:03:00,8
2019-04-24 13:04:00,2
2019-04-24 13:10:00,3
2019-04-24 13:11:00,7
2019-04-24 13:19:00,5
2019-04-24 13:20:00,5
2019-04-24 13:29:00,10
2019-04-24 13:34:00,3
2019-04-24 13:35:00,1
2019-04-24 13:37:00,1
2019-04-24 13:38:00,3
2019-04-24 13:40:00,2
2019-04-24 13:46:00,2
2019-04-24 13:47:00,8
2019-04-24 13:52:00,5
2019-04-24 13:56:00,4
2019-04-24 14:02:00,2
2019-04-24 14:03:00,8
2019-04-24 14:07:00,4
2019-04-24 14:11:00,5
2019-04-24 14:15:00,4
2019-04-24 14:21:00,1
2019-04-24 14:22:00,6
2019-04-24 14:27:00,1
2019-04-24 14:28:00,6
2019-04-24 14:32:00,4
2019-04-24 14:35:00,3
2019-04-24 14:39:00,4
2019-04-24 14:40:00,2
2019-04-24 14:46:00,2
2019-04-24 14:49:00,2
2019-04-24 14:50:00,3
2019-04-24 14:55:00,1
2019-04-24 14:56:00,9
2019-04-24 15:02:00,10
2019-04-24 15:08:00,3
