406,"SELECT DISTINCT s.instrument, s.run2d, s.plate, s.mjd, s.fiberID FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-04-24 02:39:00,14
2019-04-24 02:40:00,15
2019-04-24 02:41:00,13
2019-04-24 02:42:00,18
2019-04-24 02:43:00,11
2019-04-24 02:44:00,11
2019-04-24 02:45:00,13
2019-04-24 02:46:00,19
2019-04-24 02:47:00,12
2019-04-24 02:48:00,13
2019-04-24 02:49:00,10
2019-04-24 02:50:00,12
2019-04-24 02:51:00,17
2019-04-24 02:52:00,22
2019-04-24 02:53:00,13
2019-04-24 02:54:00,13
2019-04-24 02:55:00,13
2019-04-24 02:56:00,16
2019-04-24 02:57:00,11
2019-04-24 02:58:00,14
2019-04-24 02:59:00,15
2019-04-24 03:00:00,29
2019-04-24 03:01:00,25
2019-04-24 03:02:00,25
2019-04-24 03:03:00,30
2019-04-24 19:15:00,1
2019-04-24 19:17:00,1
