112,"SELECT p.ra , p.dec, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, p.nMgyPerCount_u, p.nMgyPerCount_g, p.nMgyPerCount_r, p.nMgyPerCount_i, p.nMgyPerCount_z FROM PhotoObjAll p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-04-24 11:16:00,1
2019-04-24 11:25:00,1
2019-04-24 11:59:00,3
2019-04-24 12:00:00,6
2019-04-24 12:01:00,1
2019-04-24 12:18:00,5
2019-04-24 12:19:00,5
2019-04-24 12:29:00,2
2019-04-24 12:30:00,7
2019-04-24 12:31:00,1
2019-04-24 14:20:00,7
2019-04-24 15:42:00,1
2019-04-24 15:52:00,1
2019-04-24 17:02:00,1
2019-04-24 18:03:00,1
2019-04-24 18:04:00,1
2019-04-24 18:06:00,1
2019-04-24 18:28:00,3
2019-04-24 18:29:00,7
2019-04-24 18:36:00,10
2019-04-24 18:56:00,1
2019-04-24 21:47:00,10
2019-04-24 21:58:00,1
2019-04-24 22:05:00,1
2019-04-24 22:22:00,10
2019-04-24 22:36:00,10
2019-04-24 23:02:00,1
2019-04-24 23:07:00,1
2019-04-24 23:08:00,9
2019-04-24 23:41:00,3
