3593,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-04-24 12:33:00,12
2019-04-24 12:34:00,7
2019-04-24 12:35:00,8
2019-04-24 12:37:00,8
2019-04-24 12:38:00,13
2019-04-24 12:39:00,13
2019-04-24 12:40:00,8
2019-04-24 12:44:00,7
2019-04-24 12:45:00,6
2019-04-24 12:52:00,13
2019-04-24 12:53:00,3
2019-04-24 12:56:00,8
2019-04-24 12:57:00,11
2019-04-24 12:58:00,9
2019-04-24 12:59:00,10
2019-04-24 13:00:00,12
2019-04-24 13:01:00,3
2019-04-24 13:07:00,14
2019-04-24 13:10:00,4
2019-04-24 13:11:00,9
2019-04-24 13:14:00,4
2019-04-24 13:15:00,5
2019-04-24 13:18:00,11
2019-04-24 13:19:00,2
2019-04-24 13:20:00,5
2019-04-24 13:24:00,4
2019-04-24 13:25:00,7
2019-04-24 13:30:00,7
2019-04-24 13:31:00,9
2019-04-24 13:33:00,3
2019-04-24 13:34:00,4
2019-04-24 13:38:00,1
2019-04-24 13:39:00,9
2019-04-24 13:40:00,7
2019-04-24 13:42:00,12
2019-04-24 13:43:00,4
2019-04-24 13:55:00,8
2019-04-24 13:56:00,10
2019-04-24 13:57:00,10
2019-04-24 14:02:00,1
2019-04-24 14:03:00,7
2019-04-24 14:05:00,10
2019-04-24 14:06:00,1
2019-04-24 14:07:00,8
2019-04-24 14:08:00,3
2019-04-24 14:13:00,9
2019-04-24 14:14:00,6
2019-04-24 14:20:00,7
2019-04-24 14:21:00,11
2019-04-24 14:25:00,11
2019-04-24 14:26:00,6
2019-04-24 14:28:00,11
2019-04-24 14:34:00,7
2019-04-24 14:35:00,9
2019-04-24 14:36:00,10
2019-04-24 14:37:00,8
2019-04-24 14:38:00,12
2019-04-24 14:39:00,4
2019-04-24 14:40:00,7
2019-04-24 14:43:00,1
2019-04-24 14:44:00,5
2019-04-24 22:39:00,11
2019-04-24 22:40:00,394
2019-04-24 22:41:00,330
2019-04-24 22:46:00,118
2019-04-24 22:47:00,381
2019-04-24 22:48:00,415
2019-04-24 22:49:00,424
2019-04-24 22:50:00,420
2019-04-24 22:51:00,398
2019-04-24 22:52:00,248
