23,"SELECT p.ra, p.dec, p.psfMag_u, p.psfMagErr_u, p.psfMag_g, p.psfMagErr_g, p.psfMag_r, p.psfMagErr_r, p.psfMag_i, p.psfMagErr_i, p.psfMag_z, p.psfMagErr_z FROM fGetNearbyObjEq(#,#,#) n, Star p WHERE n.objID=p.objID"
2019-04-26 03:46:00,1
2019-04-26 04:06:00,1
2019-04-26 04:22:00,1
2019-04-26 04:54:00,1
2019-04-26 05:12:00,1
2019-04-26 05:30:00,1
2019-04-26 17:45:00,1
2019-04-26 17:46:00,1
2019-04-26 17:47:00,2
2019-04-26 17:48:00,1
2019-04-26 17:49:00,2
2019-04-26 17:50:00,2
2019-04-26 17:51:00,2
2019-04-26 17:52:00,2
2019-04-26 17:53:00,1
2019-04-26 17:54:00,2
2019-04-26 17:55:00,1
