96,"SELECT TOP # rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-04-27 00:15:00,1
2019-04-27 02:20:00,4
2019-04-27 02:25:00,4
2019-04-27 02:28:00,1
2019-04-27 02:50:00,1
2019-04-27 02:55:00,1
2019-04-27 03:35:00,6
2019-04-27 03:40:00,6
2019-04-27 04:02:00,1
2019-04-27 04:10:00,2
2019-04-27 04:15:00,3
2019-04-27 04:20:00,1
2019-04-27 04:37:00,1
2019-04-27 04:40:00,4
2019-04-27 04:43:00,1
2019-04-27 04:45:00,1
2019-04-27 04:47:00,1
2019-04-27 05:15:00,2
2019-04-27 05:20:00,3
2019-04-27 05:30:00,1
2019-04-27 05:35:00,1
2019-04-27 05:36:00,1
2019-04-27 07:02:00,1
2019-04-27 07:15:00,1
2019-04-27 07:20:00,1
2019-04-27 08:20:00,3
2019-04-27 09:50:00,5
2019-04-27 09:55:00,1
2019-04-27 11:20:00,1
2019-04-27 11:55:00,2
2019-04-27 12:36:00,1
2019-04-27 12:40:00,1
2019-04-27 12:45:00,1
2019-04-27 13:04:00,1
2019-04-27 13:05:00,1
2019-04-27 13:07:00,1
2019-04-27 16:05:00,2
2019-04-27 16:10:00,2
2019-04-27 17:35:00,8
2019-04-27 17:40:00,8
2019-04-27 18:05:00,2
2019-04-27 18:10:00,3
2019-04-27 20:20:00,2
2019-04-27 20:38:00,1
