21,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.z as redshift, s.specobjid, s.plate, s.mjd, s.fiberid from galaxy p, specobj s, dbo.fgetNearByObjEq(#,#,#) n where p.objid=s.bestobjid and p.objid=n.objid and s.bestobjid=n.objid"
2019-04-30 16:52:00,1
2019-04-30 16:55:00,1
2019-04-30 16:56:00,1
2019-04-30 16:57:00,1
2019-04-30 17:00:00,1
2019-04-30 17:04:00,1
2019-04-30 17:13:00,1
2019-04-30 18:41:00,1
2019-04-30 18:42:00,2
2019-04-30 18:44:00,1
2019-04-30 19:02:00,1
2019-04-30 19:07:00,1
2019-04-30 19:09:00,1
2019-04-30 19:10:00,1
2019-04-30 19:11:00,1
2019-04-30 19:12:00,1
2019-04-30 19:19:00,1
2019-04-30 19:23:00,1
2019-04-30 19:28:00,1
2019-04-30 19:31:00,1
